%         	ShoulderCenter  	Spine           	ElbowRight      	ShoulderRight   	KneeRight       	HipRight        	ShoulderRight   	ElbowLeft       	ShoulderLeft    	KneeLeft        	HipLeft         	ShoulderLeft    	
%         	Head            	ShoulderCenter  	WristRight      	ShoulderCenter  	AnkleRight      	HipCenter       	ShoulderLeft    	WristLeft       	ShoulderCenter  	AnkleLeft       	HipCenter       	ShoulderRight   	
%         	Spine           	HipCenter       	ShoulderRight   	ElbowRight      	HipRight        	KneeRight       	ElbowRight      	ShoulderLeft    	ElbowLeft       	HipLeft         	KneeLeft        	ElbowLeft       	
% Time    		Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	
0.00000000	174.202476006779	137.561376900628	176.631008754927	129.124635890245	175.143932035024	128.598359046241	155.686262266548	170.723508080710	157.651800548627	173.828044848344	135.164200646591	134.050795338506	
0.03333334	174.173086005562	137.531128400897	176.684097772057	129.122699040740	175.146517401745	128.615230114125	155.680701388626	170.760807321155	157.639670696396	173.802457418830	135.149267545550	134.049102188760	
0.06666667	174.140091315105	137.502548829032	176.746960047918	129.119849802730	175.150705994299	128.635595172437	155.673001476743	170.796298739412	157.629786449049	173.779700701082	135.136157886373	134.050206835664	
0.10000000	174.109506964665	137.474138931528	176.879655065621	129.077245688009	175.160114126946	128.652648416403	155.636016662004	170.826774733843	157.620810188321	173.758937823370	135.124055974585	134.050919696263	
0.13333330	174.082839123466	137.446709440592	176.973754300399	129.049834837382	175.169252646274	128.676123945395	155.611825664621	170.854242387991	157.612329499647	173.740039850672	135.113494412653	134.051579850878	
0.16666670	174.057254157109	137.420332405568	176.988559540194	129.063707168011	175.191897199577	128.707404707869	155.619762482234	170.882982601490	157.606751597097	173.723419322768	135.104238932449	134.052386294729	
0.20000000	174.034205090906	137.394217986566	176.999659266410	129.078254702930	175.208582698746	128.739760788459	155.628011401402	170.910720772674	157.600513066385	173.708816778031	135.096056541576	134.052557208446	
0.23333330	174.011736013272	137.368829635166	176.996343663785	129.099822418379	175.231041025955	128.770161081239	155.642956529052	170.938202400000	157.593977393352	173.695828546457	135.088776577889	134.050673247680	
0.26666670	173.990856210334	137.344181403279	176.992956805684	129.118872197569	175.242018503673	128.802464653271	155.656286595009	170.966779867799	157.586896154223	173.682609444536	135.081500342787	134.047921336462	
0.30000000	173.976973104659	137.321549051317	176.975185703777	129.142116452525	175.259000303448	128.839597603997	155.675484077177	170.993981889171	157.578081907373	173.670115256272	135.072830243167	134.045100752354	
0.33333330	173.962725194874	137.299051957930	176.932457219715	129.176086651421	175.275578216168	128.874956466773	155.705957874087	171.025461126821	157.571667698385	173.656563917544	135.063934592595	134.043260409432	
0.36666670	173.946344605735	137.277643867922	176.875711080038	129.215202124424	175.289482568937	128.905803008870	155.741864315536	171.051262227347	157.563866878996	173.643391019715	135.055030623181	134.041871415047	
0.40000000	173.933563790246	137.257332822468	176.816331433660	129.254523978302	175.312754851876	128.938258470361	155.778745610839	171.072388369821	157.552782069731	173.630020864290	135.045016545456	134.038479879821	
0.43333330	173.919802101137	137.238119540568	176.754264068157	129.294391667056	175.329011100222	128.966715823976	155.817740263323	171.097887802570	157.542643000671	173.618783232261	135.035795285786	134.034518250486	
0.46666670	173.912652396346	137.220485897512	176.632864521177	129.361233655128	175.336625618212	128.984067914487	155.882605931873	171.104104343534	157.520807309373	173.607367945019	135.025926212558	134.026145958234	
0.50000000	173.906791652329	137.204169932717	176.496584806594	129.431883849228	175.345388042499	129.008930176385	155.952439051277	171.128165352844	157.499286846316	173.598256286800	135.014888171535	134.017326783837	
0.53333340	173.905898408334	137.189897841646	176.309976954498	129.525101161996	175.351821401511	129.032997061306	156.045216447575	171.161469850963	157.477632320862	173.590609170405	135.004882959071	134.008246253105	
0.56666670	173.907424495758	137.177410122730	176.127404964385	129.611150475104	175.364277129987	129.054299670037	156.133775286274	171.246729283967	157.455308146020	173.583147919745	134.992889954093	133.997037406154	
0.60000000	173.910731708950	137.165737903278	176.011290314352	129.658511103465	175.366132266342	129.071289409227	156.186640073144	171.313150233633	157.430677929937	173.579312091694	134.981691063804	133.984276040513	
0.63333330	173.917024057860	137.155394444043	175.914513998176	129.691243590374	175.369443965422	129.085257785066	156.227854416940	171.378700915384	157.404055219149	173.576063903703	134.971585559044	133.969264697335	
0.66666670	173.924958891876	137.145826144474	175.819704096327	129.721175310146	175.386760918198	129.096381256762	156.267244681042	171.440288737694	157.379031547683	173.573885704880	134.962296797990	133.955574268201	
0.70000000	173.934511150335	137.139913671530	175.731913929259	129.745921203163	175.417868595194	129.104930097772	156.303960234465	171.502678644553	157.355190694116	173.572203553057	134.953949660909	133.945016641965	
0.73333330	173.950497707213	137.136144737144	175.665375083993	129.759762680854	175.436095047515	129.113109778288	156.331463308020	171.562736121086	157.330907251715	173.569828882906	134.945912307227	133.937040758375	
0.76666670	173.964281102936	137.132370969635	175.620506436376	129.752546024303	175.455162436814	129.120393204516	156.340078937589	171.621277853193	157.308899187972	173.567333709171	134.937893777709	133.926311786018	
0.80000000	173.974353609563	137.131204867288	175.588408185636	129.736177761875	175.476516820915	129.141129762604	156.343997694225	171.671439989387	157.286761084853	173.565310072449	134.931195065087	133.915130679856	
0.83333330	173.991801779290	137.131607318645	175.572850612826	129.701799933746	175.490541380153	129.156690200936	156.332961005734	171.684194185578	157.240928758969	173.563450912288	134.923933541719	133.890893027699	
0.86666670	174.016070472557	137.132136371762	175.595110771320	129.641183149682	175.501762729619	129.170932685021	156.299770248547	171.778872761565	157.194305388276	173.559196422160	134.916539115866	133.868877593175	
0.90000000	174.038672809503	137.131655416542	175.615961428066	129.582933467885	175.514686326140	129.182647821046	156.269161147150	171.879148620932	157.152586440890	173.555212800694	134.908796940094	133.849138600743	
0.93333330	174.062482432271	137.129349451637	175.639969532800	129.524342673217	175.525362426365	129.191940511202	156.238956805661	172.016522012610	157.114395376561	173.550408719264	134.896924329785	133.839049450426	
0.96666660	174.079795796493	137.127154347585	175.605422688933	129.486348272361	175.532509338170	129.200287970915	156.229928603487	172.131232813873	157.085716196654	173.545321011825	134.879721862098	133.835585896783	
