%         	ShoulderCenter  	Spine           	ElbowRight      	ShoulderRight   	KneeRight       	HipRight        	ShoulderRight   	ElbowLeft       	ShoulderLeft    	KneeLeft        	HipLeft         	ShoulderLeft    	
%         	Head            	ShoulderCenter  	WristRight      	ShoulderCenter  	AnkleRight      	HipCenter       	ShoulderLeft    	WristLeft       	ShoulderCenter  	AnkleLeft       	HipCenter       	ShoulderRight   	
%         	Spine           	HipCenter       	ShoulderRight   	ElbowRight      	HipRight        	KneeRight       	ElbowRight      	ShoulderLeft    	ElbowLeft       	HipLeft         	KneeLeft        	ElbowLeft       	
% Time    		Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	
0.00000000	176.457381510431	136.774038001431	165.983128636715	121.798638843982	171.296638132098	133.889996760297	151.910177394254	165.263747297574	155.722437310271	166.667579153850	137.679062100159	131.693753823744	
0.03333334	176.452937432398	136.771620514489	165.970731712750	121.817361581866	171.284504395453	133.888536433884	151.911657145618	165.307683562739	155.710501371354	166.657905541876	137.661818354890	131.699273433040	
0.06666667	176.449327535479	136.770546571851	165.960899810961	121.834819611681	171.257482691031	133.888404282704	151.913662966813	165.344250292614	155.699591821739	166.648689046470	137.645223699943	131.704628573479	
0.10000000	176.447340298327	136.769926735364	165.950444216067	121.852701372653	171.246166245775	133.889209916518	151.917182159616	165.380024114860	155.688782700319	166.640251249928	137.630391597113	131.709459579388	
0.13333330	176.446226370161	136.769134524730	165.939829622537	121.869133163840	171.237807241536	133.890086328342	151.911316901567	165.424866176460	155.656964687106	166.632043606495	137.615256019804	131.690473912795	
0.16666670	176.447061267842	136.769047159406	165.932598915369	121.884385252949	171.230773261309	133.891790636123	151.907633906670	165.468506802285	155.631638361302	166.626728692159	137.601784396673	131.676307474911	
0.20000000	176.448216412341	136.769442304523	165.925577263466	121.898745088560	171.225275687525	133.893238827464	151.907775119907	165.400750123793	155.548994041255	166.602222595131	137.572495216625	131.640937892702	
0.23333330	176.447748248537	136.769121635583	165.919180618469	121.911821042659	171.220749599119	133.895741416181	151.909500274226	165.297219660973	155.418460466557	166.576316767537	137.533544106894	131.586798130545	
0.26666670	176.447120924961	136.770316435364	165.913056556284	121.924637238941	171.217649100554	133.900362016663	151.926030347901	165.108318283407	155.211690342116	166.549957859563	137.496209792154	131.528882567129	
0.30000000	176.443316047931	136.771562865045	165.906279453155	121.936775455880	171.214886410864	133.907306513859	151.949913073290	164.895380331133	154.992126838593	166.523087312963	137.453071664451	131.475240165458	
