Time	ShoulderCenter - Head - Spine	Spine - ShoulderCenter - HipCenter	ElbowRight - WristRight - ShoulderRight	ShoulderRight - ShoulderCenter - ElbowRight	KneeRight - AnkleRight - HipRight	HipRight - HipCenter - KneeRight	ShoulderRight - ShoulderLeft - ElbowRight	ElbowLeft - WristLeft - ShoulderLeft	ShoulderLeft - ShoulderCenter - ElbowLeft	KneeLeft - AnkleLeft - HipLeft	HipLeft - HipCenter - KneeLeft	ShoulderLeft - ShoulderRight - ElbowLeft
c	c	c	c	c	c	c	c	c	c	c	c	c
m												
1.13333300	171.744717961189	139.856536274888	144.508647752916	159.986537669060	177.420825805842	132.799334680678	121.719550086740	151.435898056183	164.430501297362	176.416777743310	133.577516248668	127.212090298552
1.16666700	171.713580207767	139.797888328273	144.586993570452	161.453007519065	177.616114736593	132.762879655079	123.491928692578	151.562526305493	165.438022656616	176.341863540761	133.675984466458	128.501187979830
1.20000000	171.716550294966	139.762294613272	144.974064607282	162.237015273164	177.648967468977	132.784554345082	124.574374626437	151.617782277200	166.182560147955	176.300353070684	133.728609734201	129.620293522421
1.23333300	171.682370757737	139.673046307758	145.821132532421	162.840598561346	177.777854014245	132.930567382520	125.428037805714	151.784503749104	166.908987900240	176.199104096125	133.749092719846	131.192165136903
1.26666700	171.933511051466	139.644367781085	146.566157849337	164.211787196244	177.796966356669	132.941931571602	126.841208865037	151.491294641687	167.999804019434	176.187184933198	133.744064261501	132.915324784447
1.30000000	171.928188733642	139.642908648465	147.681449896599	166.409009905219	177.837767695870	132.920741102919	129.314350609093	152.231098867028	168.796279641402	176.269251295909	133.717953023884	134.459037588256
1.33333300	171.877283751991	139.646251648042	148.662824941522	167.984288018149	177.868638401004	132.925016818495	131.315375992788	152.216733805875	169.421010048715	176.248778123165	133.702368977846	136.382643798343
1.36666700	171.829137481238	139.671271268666	150.599714493560	170.067133719250	177.900567864602	133.049374555795	133.349889815455	152.448467657912	169.877116799728	176.183505299180	133.657895993065	138.604738993635
1.40000000	171.758223777169	139.698853938310	152.324343195499	171.682223483488	177.961401999661	133.092134740098	135.429844196999	153.094245992277	169.738100544385	176.108336520539	133.658489327727	141.069313752114
1.43333300	171.702627792842	139.695216671247	153.054243615473	172.579476618919	178.107327381093	132.874348280095	136.838876671831	154.389916307861	169.088453819720	176.060190106989	133.637530333026	144.055557418304
