%         	ShoulderCenter  	Spine           	ElbowRight      	ShoulderRight   	KneeRight       	HipRight        	ShoulderRight   	ElbowLeft       	ShoulderLeft    	KneeLeft        	HipLeft         	ShoulderLeft    	
%         	Head            	ShoulderCenter  	WristRight      	ShoulderCenter  	AnkleRight      	HipCenter       	ShoulderLeft    	WristLeft       	ShoulderCenter  	AnkleLeft       	HipCenter       	ShoulderRight   	
%         	Spine           	HipCenter       	ShoulderRight   	ElbowRight      	HipRight        	KneeRight       	ElbowRight      	ShoulderLeft    	ElbowLeft       	HipLeft         	KneeLeft        	ElbowLeft       	
% Time    		Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	
0.00000000	172.543741484924	137.723454470466	174.087133209506	154.374583720942	176.241346992929	128.946631194010	174.850433761393	169.040873095242	151.081875774001	173.574190782969	131.995699196056	178.171271565173	
0.03333334	172.509905508388	137.726981080278	174.163466167481	154.363979632876	176.156026397505	128.909954295568	174.866551594453	168.976331823887	151.007304210144	173.575053789247	131.994750584387	178.203730604895	
0.06666667	172.478471771367	137.732914729003	174.248637474033	154.346157756674	176.077002170771	128.876307804212	174.883029364692	168.872599394208	150.939673330734	173.576731368296	131.995760253001	178.224671774276	
0.10000000	172.442853715808	137.738338380884	174.336672394373	154.327910527578	175.995572904040	128.846154900134	174.899797400162	168.763324136289	150.877559250115	173.581629514559	131.999571002556	178.236565389882	
0.13333330	172.410001284375	137.744980456210	174.423387663679	154.305005995706	175.922658044231	128.820019521549	174.924193304600	168.625484234614	150.847763397751	173.589279229920	132.008984657084	178.224448980850	
0.16666670	172.385039724997	137.754071824981	174.511103188533	154.269707788075	175.840664671493	128.793374908149	174.943799296829	168.566571448207	150.803008248807	173.598417712101	132.019715133935	178.222629913884	
0.20000000	172.332263065386	137.762498960919	174.611547930052	154.232833449266	175.742736546789	128.767880507803	174.959715929946	168.529947713790	150.760927705064	173.608260377657	132.029596757803	178.216889696121	
0.23333330	172.258666812124	137.770507489772	174.718030770399	154.198219375660	175.655855110289	128.749406049423	174.975451672156	168.535537358618	150.723904706817	173.620752696869	132.039894573003	178.212739631156	
0.26666670	172.185773780062	137.778026571957	174.831471194534	154.162452979418	175.577775560633	128.738610835153	174.989576925045	168.531581219867	150.708496322949	173.635581630270	132.053269223203	178.197305248490	
0.30000000	172.098353982593	137.786314200650	174.948707626303	154.124582457656	175.500484994399	128.730227120691	175.002640687861	168.536081669906	150.709116401033	173.651947761769	132.068221505939	178.171530626846	
0.33333330	172.014341891466	137.793643542672	175.064062627468	154.085518294078	175.448853747320	128.733173680994	175.007341829278	168.538488515372	150.718218783332	173.670096141076	132.084595589301	178.146291399931	
0.36666670	171.943855828630	137.801479176032	175.179251267012	154.033236621678	175.403526217590	128.741753970337	175.007116864436	168.543408969884	150.738654001808	173.689621896823	132.100730631948	178.118807056913	
0.40000000	171.884949131416	137.807759161012	175.292322476231	153.983507708094	175.355900366664	128.753840897995	174.999345922078	168.555704911257	150.757752091931	173.709209492212	132.114397733910	178.096972528773	
0.43333330	171.839936711982	137.812342638403	175.393293304880	153.925860760895	175.320183779184	128.769673864511	174.988328831839	168.574344266302	150.780714935291	173.729436994068	132.125013288694	178.079401053676	
0.46666670	171.796181873150	137.815750290864	175.483351640528	153.872695210434	175.295367212689	128.792281404512	174.978541019018	168.594688889014	150.805995861861	173.750444171681	132.132166703205	178.062110114102	
0.50000000	171.755980913339	137.820295781276	175.572129251623	153.809322277827	175.265628061032	128.816517806211	174.963825033753	168.617951541788	150.825563342047	173.742727909608	132.124677467030	178.049125779728	
0.53333340	171.720699457104	137.822670440677	175.652529688730	153.740426836496	175.246255009547	128.843870547761	174.946093542513	168.641305784289	150.853966481452	173.706787058935	132.104824765607	178.038758035175	
0.56666670	171.702145775198	137.829787043022	175.728701665973	153.650361268170	175.257307046342	128.878451137007	174.925223218043	168.654888846609	150.890284422615	173.620874179660	132.064693958305	178.027082330435	
0.60000000	171.679549569180	137.837525662556	175.798697699174	153.566232867440	175.265208384049	128.911037096296	174.902024446592	168.672172849218	150.918878739287	173.515646928303	132.018490721121	178.019649935857	
0.63333330	171.658551597649	137.843871105272	175.865585974200	153.486846347751	175.275216681547	128.942140853377	174.880585293347	168.678115668136	150.947936248372	173.409786937327	131.969767244990	178.010037275747	
0.66666670	171.638620911347	137.849529589382	175.930535380717	153.416189717341	175.284417029081	128.971469126249	174.858867511204	168.675032265196	150.984054287776	173.309534435594	131.926640428712	177.995030283048	
0.70000000	171.619585858169	137.856335973500	175.991008351902	153.353449972132	175.293118544810	128.998968796341	174.839131922406	168.667035404857	151.018915468919	173.225844067202	131.892456869814	177.976998065707	
0.73333330	171.607490247387	137.862319813035	176.046569633769	153.296659804637	175.300974341827	129.025825047173	174.826085619386	168.660479181711	151.056944434584	173.155465050005	131.860313133480	177.958736828056	
0.76666670	171.599525249180	137.868997254847	176.097777241257	153.243607022872	175.305811998818	129.050448706010	174.813874892477	168.654946411398	151.091207376745	173.094272552974	131.829293931444	177.940974197102	
0.80000000	171.596095571046	137.876389302737	176.142782820587	153.190360213416	175.316417948709	129.074137636251	174.795958249630	168.655246733085	151.119280216781	173.045657342133	131.802108689866	177.929198467604	
0.83333330	171.596362166472	137.883894849504	176.184886710060	153.139821529786	175.324798685476	129.096850167531	174.774822962343	168.654794750981	151.145905727582	173.004184518499	131.777038139969	177.918736287422	
0.86666670	171.596391930383	137.890933934128	176.222390109442	153.093402894284	175.331079579031	129.117882060486	174.756877111098	168.651296724824	151.173345426481	172.969620563116	131.753965156441	177.909678910175	
0.90000000	171.595498831015	137.898168141289	176.254541373510	153.055491103460	175.334165050037	129.136980176547	174.750926288510	168.646346459479	151.195700191215	172.940078060699	131.732303758364	177.899144616727	
0.93333330	171.595687086773	137.906193936882	176.283969544930	153.020255094434	175.336938550538	129.154337526146	174.743485004330	168.638236986070	151.211857965172	172.913417153293	131.712363251825	177.890005356930	
0.96666660	171.598096115686	137.913998557950	176.308008712275	152.991356349521	175.339705304001	129.170666652101	174.736945925148	168.628465763829	151.228452867246	172.889577165254	131.694259448993	177.881026226284	
