%         	ShoulderCenter  	Spine           	ElbowRight      	ShoulderRight   	KneeRight       	HipRight        	ShoulderRight   	ElbowLeft       	ShoulderLeft    	KneeLeft        	HipLeft         	ShoulderLeft    	
%         	Head            	ShoulderCenter  	WristRight      	ShoulderCenter  	AnkleRight      	HipCenter       	ShoulderLeft    	WristLeft       	ShoulderCenter  	AnkleLeft       	HipCenter       	ShoulderRight   	
%         	Spine           	HipCenter       	ShoulderRight   	ElbowRight      	HipRight        	KneeRight       	ElbowRight      	ShoulderLeft    	ElbowLeft       	HipLeft         	KneeLeft        	ElbowLeft       	
% Time    		Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	
0.00000000	176.657725829221	149.668661606340	175.461511027030	150.188364768511	170.828979693133	130.446242523507	174.571299574222	177.457325700890	148.456167222127	170.536839079571	130.444789971131	175.966299154114	
0.03333334	176.655880821489	149.753735051559	175.436262201745	150.196195466462	170.829984488310	130.437526310153	174.594766465635	177.378140107670	148.503881986782	170.536867799422	130.443732836513	176.016030356581	
0.06666667	176.654371389880	149.835369455249	175.348663842713	150.203052748278	170.835085849160	130.429416512688	174.618594774553	177.326104884393	148.563231470574	170.537418652545	130.443006415837	176.079499058289	
0.10000000	176.652445423360	149.913220558684	175.261799025894	150.208977611642	170.835934158620	130.421266112334	174.640840712169	177.268167612929	148.629794780901	170.537058207860	130.442314197192	176.156411750971	
0.13333330	176.648244468353	149.986173563691	175.202619000532	150.214279207273	170.834137805380	130.413774181271	174.662024354352	177.218065077632	148.682330192363	170.533129204811	130.441555766703	176.222973599633	
0.16666670	176.642970394176	150.055178237052	175.157957267696	150.219311893301	170.829884657466	130.396203270381	174.682134403173	177.131879402023	148.757357494012	170.530163621759	130.440687537895	176.315987610296	
0.20000000	176.635837002959	150.119760540517	175.120344626749	150.223004170616	170.828777916417	130.379433884746	174.699377230088	177.080277102165	148.819917404579	170.526896784881	130.440354627312	176.392194287324	
0.23333330	176.629732789762	150.180107482112	175.178329242655	150.127349756847	170.754353457429	130.347449396773	174.648790853528	177.023792865045	148.871222601683	170.523741335017	130.440370110944	176.457619283417	
0.26666670	176.621910249626	150.236069821469	175.269058133262	149.988309174822	170.692277035368	130.319911309081	174.565227240434	176.962365861522	148.935836306280	170.520519283692	130.440775767160	176.538678039565	
0.30000000	176.614490862041	150.289087112979	175.331613065701	149.842837462188	170.651967208645	130.302549880085	174.471557968410	176.903137003188	148.990751579504	170.516503397344	130.441690338195	176.608435306918	
0.33333330	176.608082214742	150.338619233189	175.345358561848	149.699775107474	170.619584183902	130.283169862447	174.372684760354	176.845277235305	149.032826235998	170.512698594379	130.442808949925	176.665506908559	
0.36666670	176.601103800704	150.384927631921	175.326378584501	149.566900701473	170.591648231299	130.264942187881	174.277046043988	176.739780374547	149.108758775982	170.508639163674	130.443695187860	176.763572435615	
0.40000000	176.592609288545	150.428280005715	175.286623918004	149.447146124079	170.567491671143	130.249155366468	174.186440495203	176.513885144099	149.244571109527	170.504027725914	130.444847520952	176.927378365560	
0.43333330	176.581848719032	150.468699346117	175.244758491405	149.338556172911	170.548007181072	130.233799137841	174.099719032157	176.315074616778	149.360782360348	170.501367645681	130.446286217514	177.066196385323	
0.46666670	176.570328921082	150.505552937021	175.182923888708	149.239224055474	170.533561570158	130.216278068165	174.019428465267	176.146319798603	149.457568962911	170.499784984546	130.447901675181	177.182028592017	
0.50000000	176.557609225567	150.538782899251	175.141841924642	149.195173858933	170.523677126453	130.199824008040	173.981840686995	176.016183581358	149.541430150300	170.499257051328	130.450142446427	177.279345862605	
0.53333340	176.540889430071	150.568483775603	175.057955062698	149.144113211482	170.514989814420	130.184884796006	173.938349576721	175.964455308406	149.574727050125	170.498788393128	130.452503574473	177.321997748691	
0.56666670	176.526792981878	150.594541176735	174.913944962621	149.094558174982	170.507254558681	130.171103623757	173.895005384408	175.923442820021	149.599729660396	170.509907068455	130.461161076956	177.353767100989	
0.60000000	176.512920127797	150.618240091389	174.780938784681	149.073060241385	170.505936541730	130.162014573578	173.875767048083	175.878494364966	149.626842792153	170.520712794931	130.469700969173	177.388415951283	
0.63333330	176.495443956350	150.639023383152	174.646132660635	149.061233313025	170.508976937915	130.151450276105	173.864315159004	175.850225660300	149.643660327073	170.553262341174	130.494243565198	177.412860501476	
0.66666670	176.478548468404	150.657262625672	174.532452429972	149.055150860139	170.515430538093	130.141243545549	173.858409129881	175.814801776783	149.669783542310	170.578233024629	130.515278116090	177.444756035672	
0.70000000	176.462771744132	150.673532516974	174.405925535137	149.059184463952	170.522412581490	130.129355084649	173.862329014639	175.793136505481	149.683089671017	170.594166336223	130.531869931447	177.464607633948	
0.73333330	176.447316989099	150.687774615250	174.321766011621	149.072451218628	170.531771157120	130.119310780457	173.875208286359	175.782627134501	149.688414889689	170.608719723745	130.547006518889	177.476481015892	
0.76666670	176.432851771138	150.700037707034	174.251152330985	149.087646893784	170.537144494257	130.105080385544	173.889096408596	175.778405802792	149.690263400310	170.620502378924	130.560673605483	177.483933537314	
0.80000000	176.416955233528	150.711413831141	174.190005291347	149.112307843367	170.542885893902	130.090180828916	173.909997100310	175.779835808986	149.689161620499	170.629906165859	130.571322988606	177.486397962906	
0.83333330	176.399911545663	150.721228698994	174.153798040903	149.111683768742	170.547214829995	130.074753840566	173.907981436813	175.815727429076	149.687059808135	170.637762427552	130.581000601683	177.483734934480	
0.86666670	176.380736109540	150.730333578865	174.135715356723	149.116936274654	170.549277060022	130.057547138225	173.910998858249	175.858055764206	149.680485728057	170.643798863057	130.588744829409	177.474993766471	
0.90000000	176.362827010815	150.737948840550	174.107682613247	149.125161688960	170.552065049672	130.040536306895	173.917501955770	175.904716889435	149.674437462734	170.649373033354	130.595566993538	177.464175761750	
0.93333330	176.343848307659	150.744146776997	174.099241147527	149.138188068941	170.554621858857	130.024889435625	173.926658000485	175.958724415544	149.666531689334	170.660293095457	130.606581371807	177.450348631464	
0.96666660	176.326505590953	150.749123858062	174.092982703820	149.153933376431	170.557222206872	130.011983204261	173.937483617373	176.020627261888	149.656470246168	170.670307577892	130.617802505269	177.433353750282	
1.00000000	176.307912740828	150.752512757565	174.087703225082	149.177161918400	170.560344660746	130.000189924463	173.954446020811	176.082158948169	149.635950812022	170.688135688528	130.633752271240	177.409222704189	
1.03333300	176.290484618220	150.754729509428	174.083806351276	149.204962215491	170.562656422963	129.989663380847	173.973932662201	176.149751842622	149.613549784764	170.697148507605	130.644335758223	177.381452462172	
1.06666700	176.274550462680	150.755465964564	174.047660500637	149.234215753771	170.560876107699	129.980924828784	173.994521006079	176.219787901393	149.587562320838	170.707605141724	130.653463715301	177.349283894291	
1.10000000	176.259759000147	150.755416311041	174.026627189990	149.263624237845	170.560104274759	129.973096617782	174.015605198716	176.292737085141	149.562538086310	170.715610198578	130.661055712615	177.316630161625	
1.13333300	176.243667748213	150.754343615295	174.014350209116	149.300009415015	170.568228866396	129.965423888452	174.041306718122	176.364709576428	149.540464055274	170.722434152078	130.668197401406	177.286092174977	
1.16666700	176.228193903245	150.752171858222	174.015043021444	149.335990964283	170.584982260124	129.958971473793	174.066811441016	176.435646509215	149.523656069483	170.727658352166	130.676580352143	177.258806334077	
1.20000000	176.216207608127	150.748736092091	174.029866417442	149.374227470411	170.589475356943	129.950013893593	174.093498000608	176.510130603451	149.507548275068	170.730874978351	130.683933422785	177.232803926136	
1.23333300	176.205086188364	150.744837420190	174.047809228550	149.413163553241	170.602204190785	129.941292210122	174.121078288221	176.588889413424	149.495862008996	170.731688551613	130.690329895878	177.209505192823	
1.26666700	176.194766309000	150.739873850070	174.067269560517	149.453689690774	170.613320880727	129.933028986619	174.149265263364	176.669883997183	149.490783365878	170.730611378997	130.697292472255	177.190461495401	
1.30000000	176.187187390058	150.734628060212	174.084272461299	149.490343282892	170.624255440171	129.926643247160	174.174049459907	176.749134376544	149.487708697122	170.728520699923	130.703673130247	177.172380565625	
1.33333300	176.179648796837	150.728710131588	174.107554134519	149.527871141478	170.637601298552	129.925376558573	174.198450327880	176.820758541594	149.485444524488	170.724401170456	130.709761380741	177.155078407903	
1.36666700	176.173318977548	150.722711045872	174.127871476727	149.563528124632	170.642647961181	129.925126113647	174.220828055226	176.900348088848	149.483580467974	170.721645262670	130.715311239925	177.138088085135	
1.40000000	176.167343794609	150.717260941746	174.212479092022	149.622884561241	170.647559397637	129.927126683971	174.277183159837	176.965981576938	149.475986733239	170.718230230498	130.721585733762	177.119562544373	
1.43333300	176.160322451983	150.711906027867	174.275372711099	149.675668247354	170.651331476797	129.929533957117	174.322904329296	177.182554925139	149.462779989458	170.715474584404	130.727507738578	177.085669804905	
1.46666700	176.154300411196	150.706569935988	174.317070969311	149.718587886841	170.650403698197	129.930975593678	174.356060327842	177.351342797388	149.444891100524	170.712198150968	130.733273479942	177.049466531241	
