%         	ShoulderCenter  	Spine           	ElbowRight      	ShoulderRight   	KneeRight       	HipRight        	ShoulderRight   	ElbowLeft       	ShoulderLeft    	KneeLeft        	HipLeft         	ShoulderLeft    	
%         	Head            	ShoulderCenter  	WristRight      	ShoulderCenter  	AnkleRight      	HipCenter       	ShoulderLeft    	WristLeft       	ShoulderCenter  	AnkleLeft       	HipCenter       	ShoulderRight   	
%         	Spine           	HipCenter       	ShoulderRight   	ElbowRight      	HipRight        	KneeRight       	ElbowRight      	ShoulderLeft    	ElbowLeft       	HipLeft         	KneeLeft        	ElbowLeft       	
% Time    		Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	
0.00000000	177.295549323694	139.593374476330	174.561326883537	149.335619978596	169.832253479969	130.860277620516	174.695956121846	178.688182341411	152.854904002435	171.722222639700	134.192215298397	179.359181500105	
0.03333334	177.391675820851	139.660179703139	174.612003111636	149.343656311325	169.814659708854	130.843269286660	174.694356717671	178.692132421606	152.875350515362	171.699191024199	134.200835378194	179.321710846223	
0.06666667	177.495231303896	139.723453988647	174.743870541925	149.354469470611	169.800799541520	130.829838995781	174.692288057928	178.330871333054	152.893665140949	171.677609903860	134.207742275891	179.282388990922	
0.10000000	177.599755218611	139.781873746150	174.759172984774	149.372441851224	169.787786865161	130.816697078092	174.694439939175	177.986098109058	152.906358054625	171.657661066413	134.215162539727	179.241518212932	
0.13333330	177.700396925124	139.838161832896	174.754879743059	149.394402944271	169.773931405662	130.812805736989	174.699023082957	178.106919708276	152.915033925647	172.422850897517	134.220032062762	179.201772685417	
0.16666670	177.792305524513	139.889913397519	174.739738825267	149.415413666307	169.760700433087	130.810588828306	174.703095794049	178.190574801058	152.932735990909	172.445085189262	134.223896820320	179.153917744951	
0.20000000	177.880045453927	139.936978054858	174.726922428690	149.436334477306	169.825724485518	130.770087047530	174.707272247598	178.254690991369	152.950395668032	172.505834806159	134.227015168362	179.105074729770	
0.23333330	177.958576955334	139.981915138469	174.719626514585	149.451757372247	169.854359895247	130.748631178325	174.710181036192	178.303739753037	152.967440504532	172.325590537435	134.228134786787	179.057959088272	
0.26666670	178.024988936252	140.024336297375	174.812567121471	149.461320241457	169.866175469097	130.739076661568	174.713097197797	178.325514065185	152.987577568182	172.161883961790	134.228762815354	179.010257484169	
0.30000000	178.085228985323	140.062325228988	174.929718097174	149.468799742257	169.876685461956	130.732386837827	174.717510634372	178.343366152274	153.005756535800	172.036073913260	134.229484045230	178.966822652855	
