%         	ShoulderCenter  	Spine           	ElbowRight      	ShoulderRight   	KneeRight       	HipRight        	ShoulderRight   	ElbowLeft       	ShoulderLeft    	KneeLeft        	HipLeft         	ShoulderLeft    	
%         	Head            	ShoulderCenter  	WristRight      	ShoulderCenter  	AnkleRight      	HipCenter       	ShoulderLeft    	WristLeft       	ShoulderCenter  	AnkleLeft       	HipCenter       	ShoulderRight   	
%         	Spine           	HipCenter       	ShoulderRight   	ElbowRight      	HipRight        	KneeRight       	ElbowRight      	ShoulderLeft    	ElbowLeft       	HipLeft         	KneeLeft        	ElbowLeft       	
% Time    		Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	
0.00000000	169.039350346572	136.258729503099	171.149712286887	147.733439289002	178.514407208034	133.898401354227	167.846675275302	169.345493627795	156.022151364331	174.171723210606	131.391813945290	171.912636756347	
0.03333334	169.042803384181	136.255286878993	171.151473521836	147.742634344154	178.505833504807	133.901031390839	167.825164491159	169.352191864086	156.074646062964	174.198157721226	131.383171913648	171.922753591656	
0.06666667	169.045239729327	136.252692704657	171.148127373991	147.750878805036	178.497947674697	133.903752208639	167.804814894416	169.350410233605	156.123021939951	174.223055320668	131.375669375983	171.951341398334	
0.10000000	169.049109697111	136.250226611295	171.144362224849	147.760045373929	178.490305632623	133.906523799266	167.785752052501	169.362193742084	156.166607898763	174.245109339021	131.366795335109	171.969265042182	
0.13333330	169.054263626729	136.248307547267	171.140273625595	147.768021379938	178.483088494244	133.909131843672	167.767680704317	169.353425055317	156.211061706504	174.265467855711	131.358500289976	171.997763527953	
0.16666670	169.059098253423	136.246863440948	171.141002554580	147.776316645323	178.476019091992	133.911770512315	167.750067204879	169.375838667203	156.253829991132	174.283805767701	131.352064718064	172.029458086510	
0.20000000	169.062025543121	136.245946811426	171.141184600061	147.783642275770	178.468984773403	133.914697815353	167.733175044222	169.396001151612	156.293593058414	174.299148752025	131.346236011967	172.056254113278	
0.23333330	169.066467956004	136.244959770305	171.140117288608	147.791432446170	178.461482242779	133.917551577269	167.715391211714	169.415603000781	156.327238611505	174.313436905509	131.342545484167	172.076116078209	
0.26666670	169.068408399106	136.244343156533	171.138660738422	147.798827078185	178.454098285369	133.919954171723	167.698137729470	169.442451450739	156.356915409765	174.326660706131	131.341821509521	172.095233435053	
0.30000000	169.071415390366	136.244799876581	171.135110136901	147.806520447276	178.446394764902	133.923051218123	167.682347614275	169.476919194402	156.377426199915	174.338707694886	131.341836062727	172.117054253617	
