HipCenter-X	HipCenter-Y	HipCenter-Z	Spine-X	Spine-Y	Spine-Z	ShoulderCenter-X	ShoulderCenter-Y	ShoulderCenter-Z	Head-X	Head-Y	Head-Z	ShoulderLeft-X	ShoulderLeft-Y	ShoulderLeft-Z	ElbowLeft-X	ElbowLeft-Y	ElbowLeft-Z	WristLeft-X	WristLeft-Y	WristLeft-Z	ShoulderRight-X	ShoulderRight-Y	ShoulderRight-Z	ElbowRight-X	ElbowRight-Y	ElbowRight-Z	WristRight-X	WristRight-Y	WristRight-Z	HipLeft-X	HipLeft-Y	HipLeft-Z	KneeLeft-X	KneeLeft-Y	KneeLeft-Z	AnkleLeft-X	AnkleLeft-Y	AnkleLeft-Z	HipRight-X	HipRight-Y	HipRight-Z	KneeRight-X	KneeRight-Y	KneeRight-Z	AnkleRight-X	AnkleRight-Y	AnkleRight-Z	ShoulderCenter - Head - Spine	Spine - ShoulderCenter - HipCenter	ElbowRight - WristRight - ShoulderRight	ShoulderRight - ShoulderCenter - ElbowRight	KneeRight - AnkleRight - HipRight	HipRight - HipCenter - KneeRight	ShoulderRight - ShoulderLeft - ElbowRight	ElbowLeft - WristLeft - ShoulderLeft	ShoulderLeft - ShoulderCenter - ElbowLeft	KneeLeft - AnkleLeft - HipLeft	HipLeft - HipCenter - KneeLeft	ShoulderLeft - ShoulderRight - ElbowLeft	Time	Naive Bayes	kNN	Classification Tree
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	discrete	discrete	discrete
																																																												meta	meta	meta	meta
0.01192416	-0.05708135	-0.06874323	0.0	0.0	0.0	-0.01009713	0.3891993	0.07579565	-0.00546081	0.5666506	0.08344293	-0.1521402	0.2523174	0.00302315	-0.2071462	-0.00925325	-0.05198264	-0.20819	-0.2127814	-0.1707554	0.1582164	0.2540961	0.0581913	0.2078553	-0.01296391	0.00882697	0.2347977	-0.2184317	-0.1121607	-0.05487043	-0.1227186	-0.102813	-0.07586017	-0.5228531	-0.09478283	-0.07121539	-0.7563041	-0.101764	0.08527783	-0.124317	-0.08170509	0.09824295	-0.5194731	-0.08310032	0.09202875	-0.7526721	-0.09498334	170.952493073	140.392793736	159.8197744	139.270213231	175.646539735	133.955386524	98.063398548	158.486856042	146.092647465	174.966059314	133.305113453	103.835595575	0.2666667	C2	C3	C2
0.01199377	-0.057184	-0.06868219	0.0	0.0	0.0	-0.01010501	0.3892961	0.07520175	-0.0053862	0.5666783	0.08320045	-0.1523978	0.2520092	0.00269961	-0.2070641	-0.00902317	-0.05161572	-0.2083323	-0.2134646	-0.1707864	0.1583808	0.2538614	0.0582695	0.2081504	-0.01352474	0.00892043	0.2359001	-0.2208768	-0.1133301	-0.05480573	-0.1229497	-0.1026108	-0.07567658	-0.5229582	-0.0951035	-0.07126982	-0.7572621	-0.1020894	0.08539701	-0.1244227	-0.08176613	0.09874571	-0.5171642	-0.08407474	0.0923098	-0.7522292	-0.09500313	171.13292515	140.376774556	159.799400914	139.2914291	175.787290505	134.019752209	98.0558476265	158.457915264	146.060453992	175.075612377	133.409524917	103.79607007	0.3	C2	C3	C2
0.01206149	-0.05717108	-0.06866121	0.0	0.0	0.0	-0.00988746	0.3892105	0.07521486	-0.00542868	0.5668811	0.08277321	-0.1527922	0.2515238	0.00199533	-0.2070737	-0.00895847	-0.05151153	-0.2087392	-0.2138543	-0.1708033	0.158536	0.2537543	0.05840087	0.2084553	-0.01385698	0.00916219	0.2369455	-0.223502	-0.1149735	-0.05483634	-0.1230327	-0.1025722	-0.07492038	-0.5232308	-0.09543657	-0.07106135	-0.7574565	-0.1019306	0.08552532	-0.1244399	-0.08180523	0.0989413	-0.5173064	-0.08403492	0.09231129	-0.7524644	-0.09501052	171.029445519	140.372065642	159.679830268	139.325040447	175.728618763	134.012694882	97.9900918987	158.43470965	145.905363429	175.377424065	133.349075424	103.810109138	0.3333333	C2	C3	C2
0.01214645	-0.05723325	-0.06858802	0.0	0.0	0.0	-0.01018015	0.3891634	0.07467937	-0.00528607	0.5669799	0.08262062	-0.1530263	0.2513813	0.00200534	-0.2079198	-0.0084328	-0.05184126	-0.209887	-0.2131156	-0.1712389	0.1585496	0.2537911	0.05872774	0.2088189	-0.01377195	0.01001024	0.2382882	-0.2216617	-0.1138005	-0.05475708	-0.1231974	-0.1024044	-0.07438041	-0.5235139	-0.09549999	-0.07112514	-0.7577224	-0.1018991	0.08569722	-0.124528	-0.08176565	0.09909485	-0.517465	-0.08394647	0.09255518	-0.7528933	-0.09499836	171.154058109	140.35918061	159.479085662	139.298262329	175.738469746	133.984516805	98.0424357505	158.442648107	146.135600489	175.58541088	133.367829257	104.016446266	0.3666667	C2	C3	C2
0.01230822	-0.05728293	-0.06851196	0.0	0.0	0.0	-0.01040263	0.3890554	0.07419276	-0.00524712	0.5670176	0.08231568	-0.1527308	0.2513037	0.00143719	-0.2077657	-0.00842327	-0.05180383	-0.2109808	-0.213238	-0.1722844	0.1588563	0.2536966	0.05889797	0.2094596	-0.01377549	0.0104506	0.2414397	-0.224865	-0.1165032	-0.05461754	-0.123323	-0.1023257	-0.07339051	-0.5240138	-0.09599805	-0.07099745	-0.7576531	-0.102154	0.0859422	-0.1245982	-0.08162165	0.09903838	-0.5166979	-0.08442831	0.09300421	-0.7527344	-0.09528804	171.228001476	140.34194314	159.262195622	139.252429881	175.957562229	133.943467633	98.0996648159	158.295974503	146.206818888	175.936927858	133.325196553	104.050165704	0.4	C2	C3	C2
0.01240803	-0.0573003	-0.06842279	0.0	0.0	0.0	-0.0103453	0.388778	0.07370186	-0.00482791	0.5669295	0.08198404	-0.1524204	0.2510715	0.00137997	-0.2082883	-0.00858466	-0.05221391	-0.2118017	-0.2137533	-0.1731143	0.1592936	0.2534218	0.05937123	0.2099071	-0.0134542	0.01107621	0.2427576	-0.2259881	-0.1166024	-0.05458889	-0.1234135	-0.1022098	-0.07297339	-0.5241396	-0.09628248	-0.0707555	-0.7576443	-0.1023359	0.08614814	-0.1247311	-0.08145761	0.09937447	-0.5165717	-0.08438611	0.09348001	-0.7526461	-0.09515738	171.291420739	140.315432635	159.304358061	139.167430681	175.990967167	133.980501992	98.1154128971	158.277451506	146.449108579	176.064370855	133.317213967	104.240204237	0.4333333	C2	C3	C2
0.01242965	-0.05727945	-0.0684154	0.0	0.0	0.0	-0.01002046	0.3887072	0.07380176	-0.0045166	0.5669182	0.08158135	-0.1523449	0.2508762	0.00111914	-0.2088148	-0.00752798	-0.05222058	-0.2129408	-0.2131171	-0.174063	0.1594991	0.2532859	0.05960107	0.2104648	-0.01337534	0.0117445	0.243346	-0.216111	-0.1133611	-0.05462906	-0.1234611	-0.1021142	-0.07259227	-0.5241832	-0.09714651	-0.07052177	-0.7579518	-0.1022072	0.08615171	-0.124705	-0.08158278	0.09969171	-0.5168903	-0.08430219	0.09322579	-0.7529662	-0.09482861	171.144794611	140.313580672	158.598316227	139.281989344	175.851485202	134.014386321	98.1844325112	158.142269595	146.583531517	176.359893729	133.355887021	104.441978238	0.4666667	C2	C3	C2
0.01256293	-0.05734472	-0.06832004	0.0	0.0	0.0	-0.00995822	0.3886835	0.07335067	-0.00424025	0.5669053	0.08177495	-0.1521929	0.2506839	0.00088406	-0.2095261	-0.00671134	-0.05260992	-0.2140348	-0.2127132	-0.1750062	0.1595952	0.2530157	0.06008744	0.2106916	-0.01365079	0.01253819	0.2445548	-0.2147722	-0.1118751	-0.05451892	-0.1234793	-0.1023836	-0.07240091	-0.5243243	-0.09768534	-0.07064525	-0.7582231	-0.1024418	0.08630271	-0.1249335	-0.08113074	0.09928499	-0.5170832	-0.08413911	0.09340692	-0.7530001	-0.09440279	171.373512144	140.308573813	158.516109072	139.311468749	176.095734642	134.027081406	98.2111588013	158.091757803	146.877573052	176.496327116	133.265666936	104.68144821	0.5	C2	C3	C2
0.01259311	-0.05722338	-0.0683291	0.0	0.0	0.0	-0.00968105	0.3883476	0.07362437	-0.00362717	0.5664633	0.08286858	-0.1519233	0.2505012	0.00124931	-0.2101866	-0.00534757	-0.05317259	-0.2155944	-0.2124738	-0.1762066	0.1599481	0.2524918	0.06081343	0.2110972	-0.01334831	0.01403975	0.2454081	-0.2140652	-0.1104188	-0.05468604	-0.1231587	-0.1026845	-0.07201082	-0.5240298	-0.09813523	-0.0703474	-0.7590058	-0.10181	0.08644546	-0.1250796	-0.08094454	0.09949162	-0.5164685	-0.08370113	0.09381206	-0.7530394	-0.0937109	171.546394515	140.282685988	158.340997045	139.370781315	176.145724445	134.116560289	98.3295869542	158.308523537	147.182361507	176.731365618	133.000225295	104.92959407	0.5333334	C2	C3	C2
0.01262308	-0.05707194	-0.06839061	0.0	0.0	0.0	-0.00970865	0.3880478	0.07404828	-0.00372449	0.5663393	0.0830586	-0.1521797	0.2502404	0.00141597	-0.2113698	-0.00287869	-0.052948	-0.2195719	-0.2115716	-0.1793733	0.1598987	0.2523201	0.06115031	0.2116633	-0.01307309	0.01493263	0.2500335	-0.2219083	-0.1167276	-0.0546711	-0.1229541	-0.1032331	-0.07182496	-0.5238829	-0.09840679	-0.0701267	-0.75896	-0.1018195	0.08651662	-0.1251215	-0.08077741	0.09943028	-0.5168206	-0.08320308	0.09372941	-0.7535084	-0.09319758	171.419297926	140.249519826	157.890193979	139.507361188	176.136443422	134.167880951	98.4722614787	158.160185191	147.462381776	176.757505284	132.838220928	105.284981839	0.5666667	C2	C3	C2
