HipCenter-X	HipCenter-Y	HipCenter-Z	Spine-X	Spine-Y	Spine-Z	ShoulderCenter-X	ShoulderCenter-Y	ShoulderCenter-Z	Head-X	Head-Y	Head-Z	ShoulderLeft-X	ShoulderLeft-Y	ShoulderLeft-Z	ElbowLeft-X	ElbowLeft-Y	ElbowLeft-Z	WristLeft-X	WristLeft-Y	WristLeft-Z	ShoulderRight-X	ShoulderRight-Y	ShoulderRight-Z	ElbowRight-X	ElbowRight-Y	ElbowRight-Z	WristRight-X	WristRight-Y	WristRight-Z	HipLeft-X	HipLeft-Y	HipLeft-Z	KneeLeft-X	KneeLeft-Y	KneeLeft-Z	AnkleLeft-X	AnkleLeft-Y	AnkleLeft-Z	HipRight-X	HipRight-Y	HipRight-Z	KneeRight-X	KneeRight-Y	KneeRight-Z	AnkleRight-X	AnkleRight-Y	AnkleRight-Z	ShoulderCenter - Head - Spine	Spine - ShoulderCenter - HipCenter	ElbowRight - WristRight - ShoulderRight	ShoulderRight - ShoulderCenter - ElbowRight	KneeRight - AnkleRight - HipRight	HipRight - HipCenter - KneeRight	ShoulderRight - ShoulderLeft - ElbowRight	ElbowLeft - WristLeft - ShoulderLeft	ShoulderLeft - ShoulderCenter - ElbowLeft	KneeLeft - AnkleLeft - HipLeft	HipLeft - HipCenter - KneeLeft	ShoulderLeft - ShoulderRight - ElbowLeft	Position	Time
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	discrete	continuous
																																																												class	meta
0.00510122	-0.0583805	-0.05299354	0.0	0.0	0.0	-0.0069024	0.335611	-0.00778532	-0.00636735	0.518546	-0.02638865	-0.1903681	0.2571241	0.00125241	-0.4284025	0.2602146	-0.01042986	-0.6427529	0.2782114	-0.04746509	0.1894001	0.2730627	0.02940559	0.4234886	0.2658266	0.04501939	0.6329265	0.284454	0.08298254	-0.07629444	-0.1445719	-0.07701969	-0.0824372	-0.7156303	-0.04495907	-0.04727379	-1.07861	-0.06534147	0.09093188	-0.142819	-0.05419016	0.06331385	-0.7106083	-0.03474164	0.03148475	-1.079832	-0.05171251	175.324958017	136.412202625	170.649579651	162.969918954	174.942695108	131.688318479	175.815192155	171.958645912	155.500597324	171.117819501	135.031013624	176.550146197	C3	0.2666667
0.00502037	-0.05842741	-0.05300665	0.0	0.0	0.0	-0.00618245	0.3357509	-0.00767756	-0.0053348	0.5180795	-0.02671409	-0.1891319	0.2568255	0.00112057	-0.4273446	0.2599453	-0.01057982	-0.6409946	0.2776788	-0.04784465	0.190777	0.2726735	0.02968144	0.4255952	0.2661297	0.044945	0.634488	0.2841858	0.0828383	-0.07647201	-0.1444832	-0.07715082	-0.08098146	-0.7163276	-0.04514003	-0.0465023	-1.078629	-0.06546855	0.0906384	-0.1430852	-0.05416584	0.06445711	-0.7109069	-0.03505158	0.02991587	-1.082806	-0.05480003	175.166030717	136.440323564	170.799799949	162.692120946	174.375731836	131.980464474	175.982942554	171.911121987	155.337764683	171.304849293	134.788940099	176.533421751	C3	0.3
0.00503304	-0.05839068	-0.05302858	0.0	0.0	0.0	-0.00626941	0.335709	-0.0074594	-0.00508487	0.5173792	-0.02658844	-0.1893014	0.2568544	0.00128245	-0.4268478	0.2599738	-0.01062608	-0.6405054	0.2774772	-0.04792809	0.1906835	0.2726309	0.02976561	0.4256878	0.2660559	0.04478621	0.6344155	0.2845935	0.08289623	-0.07641147	-0.14438	-0.07706952	-0.08140859	-0.7164015	-0.04532051	-0.04648504	-1.078373	-0.0658493	0.09068994	-0.1431117	-0.05431581	0.06367724	-0.7114894	-0.03510451	0.03018834	-1.082624	-0.05486345	175.047934701	136.448325042	170.612301059	162.685815886	174.466896803	131.904272843	175.980225969	171.983743206	155.354412112	171.215987412	134.850274902	176.571426967	C3	0.3333333
0.00507889	-0.05841123	-0.05302858	0.0	0.0	0.0	-0.00638406	0.3358121	-0.00746012	-0.00480457	0.5177026	-0.02684069	-0.1891166	0.2568753	0.0012846	-0.4268155	0.2601386	-0.01059246	-0.6404271	0.2777581	-0.04815364	0.1908914	0.2727068	0.02985168	0.4256366	0.2660829	0.04484391	0.6344205	0.2845221	0.08273101	-0.07633483	-0.1444262	-0.0770905	-0.08090558	-0.7166028	-0.04539514	-0.04628442	-1.078369	-0.06607747	0.09080757	-0.1431404	-0.05431795	0.06392521	-0.7121384	-0.03516173	0.03184297	-1.082321	-0.05388641	174.936867653	136.458701871	170.663349582	162.712798327	174.68992453	131.899386927	175.956337929	171.916479312	155.267806607	171.26067274	134.827460294	176.524011764	C3	0.3666667
0.00512245	-0.05845612	-0.05297446	0.0	0.0	0.0	-0.00639541	0.3357984	-0.00760126	-0.00483893	0.5177653	-0.02691936	-0.1891501	0.2569413	0.00121665	-0.4271592	0.2606014	-0.00967979	-0.6408249	0.277912	-0.04811907	0.1908253	0.2727429	0.02989101	0.419774	0.2629809	0.04740071	0.6349264	0.2851436	0.08332014	-0.07597169	-0.1445856	-0.07688951	-0.08104312	-0.7169356	-0.04536223	-0.04652506	-1.081129	-0.06605721	0.09075201	-0.1431774	-0.05418944	0.06429501	-0.7142657	-0.03399968	0.03166284	-1.082921	-0.05409622	174.98234617	136.484389747	170.313899394	163.737881043	174.333534763	131.979807818	175.19065265	171.585645635	155.244155319	171.289518163	135.037608367	176.330881174	C3	0.4
0.00511426	-0.0583708	-0.05298209	0.0	0.0	0.0	-0.00609389	0.3356011	-0.00726724	-0.00471147	0.5187737	-0.02701354	-0.1891163	0.2569227	0.00131393	-0.427093	0.2605747	-0.00986576	-0.6406143	0.2777582	-0.04837584	0.1907941	0.2726582	0.03016806	0.4200853	0.2620554	0.0491941	0.6351675	0.2857359	0.08421469	-0.07608174	-0.1442966	-0.07683468	-0.08188438	-0.7167974	-0.04506779	-0.04729894	-1.081916	-0.06639218	0.09076436	-0.1431847	-0.05431008	0.06363562	-0.7136654	-0.03409338	0.03166401	-1.082933	-0.05419159	174.872673094	136.491190848	170.081082674	164.06576718	174.407274114	131.93092165	174.980539804	171.636973451	155.322310953	171.159270593	135.007226431	176.359714038	C3	0.4333333
0.005094	-0.0583384	-0.05298948	0.0	0.0	0.0	-0.00581782	0.3354086	-0.00717592	-0.00471835	0.5184999	-0.02701187	-0.1890999	0.256987	0.00124145	-0.4272446	0.2606733	-0.00993776	-0.6407546	0.2778767	-0.04846406	0.1907219	0.2726554	0.03009033	0.4213716	0.2626164	0.04916215	0.6353549	0.28583	0.08443069	-0.07610607	-0.1442278	-0.07685757	-0.0806995	-0.7163428	-0.04514265	-0.04785735	-1.081336	-0.06677246	0.09070989	-0.1431434	-0.05433273	0.06395764	-0.7132652	-0.03414392	0.0324346	-1.083332	-0.05371714	174.865817889	136.483363627	170.24070332	163.943511692	174.505809076	131.974941853	175.145628453	171.631917772	155.420395408	171.382871597	134.879314081	176.360390637	C3	0.4666667
0.0051102	-0.05828044	-0.05296779	0.0	0.0	0.0	-0.00594527	0.3346637	-0.00745273	-0.00356919	0.5151098	-0.0280962	-0.1888985	0.2572924	0.00136089	-0.4244711	0.2611844	-0.00988531	-0.6381339	0.2786115	-0.04685855	0.190725	0.2727424	0.0301044	0.4230998	0.2642874	0.04880118	0.6356034	0.2863629	0.08442616	-0.0760619	-0.1441376	-0.07687235	-0.08101367	-0.7158047	-0.04536414	-0.04763804	-1.081058	-0.06686711	0.09072178	-0.1430476	-0.05422616	0.06438582	-0.7119992	-0.03440833	0.03264523	-1.082973	-0.05367827	174.460176528	136.417992707	170.675650338	163.705729443	174.56203888	132.003686514	175.590724249	172.039379779	155.562593415	171.337992455	134.912796377	176.361705132	C3	0.5
0.0051621	-0.05826132	-0.0529561	0.0	0.0	0.0	-0.00652587	0.3344274	-0.00746918	-0.00352354	0.5152049	-0.02802873	-0.1888041	0.2572523	0.00143099	-0.424622	0.2613807	-0.01023698	-0.638304	0.2790466	-0.04679561	0.1907596	0.2726163	0.03027844	0.4264109	0.2641747	0.05015969	0.6356236	0.2864493	0.08447886	-0.07596846	-0.1441259	-0.07693434	-0.08034156	-0.7164557	-0.04542875	-0.04724203	-1.080832	-0.06683016	0.09096197	-0.1430555	-0.05393028	0.06339699	-0.7163593	-0.03229141	0.03352321	-1.083373	-0.05279231	174.397770076	136.417121509	170.790893248	163.822851697	174.326703791	131.847947744	175.618428858	172.220403809	155.455728954	171.405149175	134.864896882	176.357714058	C3	0.5333334
0.00516026	-0.05821215	-0.05295849	0.0	0.0	0.0	-0.00654016	0.3341418	-0.00744581	-0.003392	0.5143543	-0.02808166	-0.1888573	0.25741	0.00142264	-0.4246913	0.2616393	-0.0104003	-0.6383951	0.2796809	-0.04640293	0.1906304	0.2728557	0.03019023	0.4263158	0.264254	0.05026293	0.6355274	0.2867235	0.08446336	-0.0758903	-0.144136	-0.07691479	-0.08020914	-0.7167741	-0.0456264	-0.04713009	-1.08075	-0.06649113	0.09093511	-0.1429336	-0.05397248	0.06356074	-0.7170188	-0.03253484	0.03369848	-1.083253	-0.05265307	174.334707892	136.394974853	170.748345615	164.000954556	174.387444484	131.854344956	175.561212537	172.345077623	155.544949835	171.485214425	134.915061538	176.343587677	C3	0.5666667
