0.08057419	0.24919480	2.53550800	0.08561203	0.60390320	2.54773800	0.27899420	0.52069280	2.54109700	0.56248070	0.52606170	2.56248000	0.80119740	0.53069910	2.54423700
0.08050952	0.24922310	2.53562400	0.08563424	0.60387850	2.54779500	0.27907840	0.52060530	2.54119000	0.56220220	0.52567140	2.56243000	0.80094650	0.52996460	2.54456000
0.08069430	0.24958780	2.53584100	0.08648464	0.60481070	2.54826000	0.27953730	0.52040400	2.54149700	0.56214060	0.52532890	2.56234600	0.80089920	0.52985750	2.54478000
0.08072714	0.24957750	2.53604600	0.08756985	0.60482400	2.54870700	0.27957270	0.52039810	2.54150700	0.55979310	0.52443390	2.56202200	0.79855100	0.52979740	2.54488700
0.08083372	0.24958450	2.53613600	0.08758105	0.60490420	2.54874900	0.27980140	0.52035190	2.54165000	0.55921970	0.52407100	2.56197200	0.79798700	0.52908560	2.54435500
0.08105153	0.24958010	2.53619300	0.08914477	0.60460010	2.54878700	0.27983080	0.52030150	2.54167400	0.55844470	0.52387620	2.56202200	0.79722290	0.52877580	2.54437100
0.08108044	0.24946950	2.53629300	0.08870149	0.60429730	2.54877400	0.27982560	0.52002450	2.54164600	0.55820610	0.52366440	2.56194800	0.79699350	0.52843080	2.54413300
0.08102649	0.24942970	2.53630900	0.08835199	0.60401270	2.54878000	0.27979640	0.51998000	2.54162500	0.55807920	0.52349180	2.56192200	0.79687520	0.52834040	2.54420000
0.08104113	0.24935300	2.53636200	0.08832541	0.60391000	2.54872300	0.27992750	0.51959730	2.54170300	0.55783160	0.52345070	2.56182600	0.79664400	0.52779660	2.54400600
0.08080547	0.24941900	2.53627800	0.08833913	0.60395810	2.54871700	0.27990460	0.51956270	2.54164800	0.55761700	0.52299540	2.56181300	0.79642840	0.52724180	2.54337200
0.08070153	0.24933270	2.53629100	0.08817094	0.60384230	2.54849200	0.27991040	0.51954940	2.54164300	0.55555650	0.52222230	2.56096800	0.79437940	0.52699510	2.54341300
0.08050188	0.24938640	2.53625700	0.08800121	0.60378770	2.54822800	0.28011610	0.51943480	2.54159300	0.55517820	0.52181300	2.56061400	0.79400680	0.52666420	2.54317300
0.08042005	0.24955060	2.53613600	0.08855204	0.60384510	2.54770600	0.28012380	0.51940530	2.54152100	0.55537070	0.52131410	2.56040400	0.79420840	0.52611180	2.54319600
0.08057995	0.24960140	2.53608400	0.08906040	0.60391160	2.54780800	0.28013840	0.51940120	2.54126200	0.55425990	0.51958600	2.55938900	0.79309110	0.52505990	2.54260100
0.08089004	0.24963480	2.53597100	0.09111860	0.60378970	2.54720300	0.28032630	0.51897510	2.54079300	0.55482440	0.51909080	2.55924700	0.79366140	0.52365570	2.54130200
0.08143227	0.24989760	2.53562500	0.09248009	0.60372440	2.54632200	0.28072340	0.51858960	2.54049700	0.55575240	0.51821140	2.55874700	0.79458840	0.52272370	2.54046200
0.08148085	0.24996800	2.53559100	0.09281500	0.60366020	2.54599200	0.28110230	0.51861060	2.54059300	0.55563450	0.51745450	2.55840800	0.79447800	0.52165930	2.53995100
0.08166847	0.24993950	2.53545100	0.09263890	0.60309590	2.54532500	0.28136820	0.51830650	2.54035300	0.55777410	0.51588700	2.55743900	0.79661970	0.52020250	2.53878300
0.08216015	0.25011560	2.53507800	0.09327649	0.60322030	2.54486400	0.28177290	0.51815800	2.53988100	0.55829830	0.51528200	2.55683000	0.79714700	0.51853030	2.53715400
