%         	ShoulderCenter  	Spine           	ElbowRight      	ShoulderRight   	KneeRight       	HipRight        	ShoulderRight   	ElbowLeft       	ShoulderLeft    	KneeLeft        	HipLeft         	ShoulderLeft    	
%         	Head            	ShoulderCenter  	WristRight      	ShoulderCenter  	AnkleRight      	HipCenter       	ShoulderLeft    	WristLeft       	ShoulderCenter  	AnkleLeft       	HipCenter       	ShoulderRight   	
%         	Spine           	HipCenter       	ShoulderRight   	ElbowRight      	HipRight        	KneeRight       	ElbowRight      	ShoulderLeft    	ElbowLeft       	HipLeft         	KneeLeft        	ElbowLeft       	
% Time    		Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	
0.00000000	174.006259598703	136.839513745062	165.929859296890	156.668459070343	169.915452617943	136.226202710092	130.719374699279	161.590198641840	115.144998592177	170.585108765065	129.243454787764	141.623563898575	
0.03333334	174.015543291431	136.833714410216	165.932254072970	156.670403206616	169.893173030430	136.221352663273	130.731120369569	161.720594946619	115.150348169814	170.593444045059	129.249937103765	141.603932786120	
0.06666667	174.029463284556	136.827545252960	165.939043421817	156.668118419952	169.861976707010	136.217158371036	130.738105993641	161.869505778364	115.157389216644	170.602043494567	129.255323612668	141.582355692161	
0.10000000	174.047622328907	136.821387777363	165.944664514688	156.666332515057	169.852691604976	136.213150966852	130.745656561441	162.036568352407	115.165589020576	170.609678232861	129.260826486234	141.560777821135	
0.13333330	174.062907475953	136.816467441673	165.954013166791	156.665251796438	169.849952265894	136.209740999406	130.752704494355	162.239900103585	115.175620957958	170.615546314588	129.261271337875	141.545871386219	
0.16666670	174.071126471458	136.812042219610	165.970743513488	156.660157076007	169.846965224250	136.205982820231	130.754713500988	162.455939323378	115.183771392127	170.620710454984	129.259992308169	141.532168100182	
0.20000000	174.078291861824	136.808289405980	165.996607903559	156.647442614257	169.828734860807	136.199176849133	130.749085774428	162.675497860111	115.190798216909	170.623859323603	129.255092333138	141.519882701551	
0.23333330	174.079501868903	136.806640695416	166.025548425771	156.638778975911	169.813953405517	136.192331246108	130.745130759145	162.861626489979	115.199040670972	170.625080300589	129.246667747528	141.507773452305	
0.26666670	174.073277937425	136.807651107686	166.076654040831	156.632008360537	169.795869008782	136.187422408374	130.741735324425	163.030959626693	115.209651077568	170.625400011028	129.237290127834	141.499677669256	
0.30000000	174.065614030436	136.808989671566	166.160449932732	156.619697012544	169.776178689902	136.181949221627	130.731113132698	163.173420506674	115.219169949363	170.624846923979	129.229679749749	141.489461167509	
0.33333330	174.056868731946	136.812017489000	166.289329256382	156.473073857506	169.760330297892	136.170192222189	130.604573376978	163.289715474820	115.227053445279	170.622786809986	129.219126159206	141.465462250436	
0.36666670	174.013344740817	136.824152820993	166.412650585812	156.390330091601	169.744461265963	136.160540531543	130.509934195266	163.385717931255	115.234171828337	170.619099134417	129.204704593905	141.442671916886	
0.40000000	173.969244018970	136.835038369765	166.523024240052	156.347447224900	169.729628576100	136.151732987509	130.453666431607	163.463512950477	115.240788154596	170.615109438737	129.190801494238	141.432901839501	
0.43333330	173.921523042740	136.846058898217	166.623622212629	156.307955505762	169.717472264177	136.141362815240	130.400646346452	163.527856361759	115.247676175250	170.608944512049	129.174972694615	141.427156456696	
0.46666670	173.877980527230	136.854273134709	166.707881658322	156.281304445781	169.705080638045	136.134287764077	130.356605177264	163.578950576826	115.253098028745	170.602739303771	129.160108774961	141.415694149465	
0.50000000	173.836879790305	136.861585304078	166.769313620902	156.257363768166	169.692904299834	136.131619771507	130.315344526497	163.620949139633	115.257995149096	170.599848605454	129.144970104297	141.400721720881	
0.53333340	173.798713110524	136.867909292362	166.813209601264	156.236419093012	169.683150959890	136.127021012824	130.277836729852	163.658750256846	115.262401697430	170.596277952944	129.131471566331	141.385829185098	
0.56666670	173.757935003467	136.873168868062	166.841703003623	156.216184471216	169.673512372017	136.122443856420	130.242486303366	163.691303623954	115.266486260260	170.592827474898	129.120660657926	141.370935321734	
