%Time     	HipCenter-X     	HipCenter-Y     	HipCenter-Z     	Spine-X         	Spine-Y         	Spine-Z         	ShoulderCenter-X	ShoulderCenter-Y	ShoulderCenter-Z	Head-X          	Head-Y          	Head-Z          	ShoulderLeft-X  	ShoulderLeft-Y  	ShoulderLeft-Z  	ElbowLeft-X     	ElbowLeft-Y     	ElbowLeft-Z     	WristLeft-X     	WristLeft-Y     	WristLeft-Z     	ShoulderRight-X 	ShoulderRight-Y 	ShoulderRight-Z 	ElbowRight-X    	ElbowRight-Y    	ElbowRight-Z    	WristRight-X    	WristRight-Y    	WristRight-Z    	HipLeft-X       	HipLeft-Y       	HipLeft-Z       	KneeLeft-X      	KneeLeft-Y      	KneeLeft-Z      	AnkleLeft-X     	AnkleLeft-Y     	AnkleLeft-Z     	HipRight-X      	HipRight-Y      	HipRight-Z      	KneeRight-X     	KneeRight-Y     	KneeRight-Z     	AnkleRight-X    	AnkleRight-Y    	AnkleRight-Z    	
0.00000000	0.16792020      	0.09380181      	2.46836400      	0.18663250      	0.16114450      	2.51375800      	0.18952110      	0.53053520      	2.49968700      	0.16603420      	0.71226740      	2.48040700      	0.01499444      	0.47859650      	2.55894400      	-0.16395760     	0.64445670      	2.57449600      	-0.32118250     	0.82069670      	2.61977600      	0.32747100      	0.39743480      	2.43658400      	0.49977050      	0.16959270      	2.43414600      	0.65342060      	-0.05800055     	2.41540700      	0.09503184      	0.02075117      	2.48004300      	0.13558470      	-0.57737460     	2.54006700      	0.16172500      	-0.92331120     	2.50926400      	0.23347640      	0.01688468      	2.44138600      	0.27725160      	-0.56732830     	2.51477000      	0.25494900      	-0.91764310     	2.49510400      
0.03333334	0.16811080      	0.09378567      	2.46860200      	0.18680180      	0.16115430      	2.51389600      	0.18966540      	0.53051470      	2.49982300      	0.16610670      	0.71231970      	2.48067100      	0.01522755      	0.47850160      	2.55923500      	-0.16394720     	0.64439340      	2.57468500      	-0.32708820     	0.82454290      	2.61740600      	0.32760220      	0.39742300      	2.43675500      	0.50000090      	0.16942080      	2.43403300      	0.65340440      	-0.05809804     	2.41509300      	0.09525460      	0.02072627      	2.48033900      	0.13569600      	-0.57745090     	2.54019700      	0.16173060      	-0.92331580     	2.50927200      	0.23366770      	0.01688682      	2.44161800      	0.27735170      	-0.56727720     	2.51495100      	0.25493120      	-0.91755240     	2.49515300      
0.06666667	0.16830440      	0.09376778      	2.46883000      	0.18697130      	0.16116230      	2.51402900      	0.18981020      	0.53049650      	2.49995800      	0.16617720      	0.71237360      	2.48092500      	0.01545394      	0.47840160      	2.55949400      	-0.16393940     	0.64433470      	2.57486100      	-0.33636920     	0.83487850      	2.61963300      	0.32774170      	0.39741280      	2.43693600      	0.50021620      	0.16926660      	2.43392200      	0.65339090      	-0.05817709     	2.41483100      	0.09547270      	0.02070399      	2.48061100      	0.13579030      	-0.57748390     	2.54030500      	0.16173640      	-0.92332020     	2.50927900      	0.23386720      	0.01688719      	2.44184400      	0.27747260      	-0.56723690     	2.51513500      	0.25499360      	-0.91741710     	2.49523100      
0.10000000	0.16850080      	0.09374245      	2.46904700      	0.18714530      	0.16116330      	2.51415900      	0.18997000      	0.53048040      	2.50010700      	0.16624870      	0.71241970      	2.48116400      	0.01572119      	0.47826610      	2.55973400      	-0.16394550     	0.64428260      	2.57503800      	-0.34312530     	0.84857420      	2.63717500      	0.32788010      	0.39740660      	2.43712100      	0.50042380      	0.16911960      	2.43381900      	0.65338020      	-0.05824239     	2.41460400      	0.09569696      	0.02067915      	2.48086800      	0.13589670      	-0.57754460     	2.54042200      	0.16174110      	-0.92333470     	2.50928800      	0.23405770      	0.01688602      	2.44205300      	0.27758680      	-0.56720040     	2.51530600      	0.25502570      	-0.91731380     	2.49529600      
0.13333330	0.16868610      	0.09371691      	2.46925400      	0.18730780      	0.16116340      	2.51428400      	0.19012310      	0.53046830      	2.50025000      	0.16631750      	0.71246570      	2.48140500      	0.01599639      	0.47812250      	2.55995800      	-0.16395300     	0.64423250      	2.57520700      	-0.34401880     	0.84958820      	2.63865300      	0.32803430      	0.39740440      	2.43732900      	0.50061200      	0.16899060      	2.43372500      	0.65337230      	-0.05829662     	2.41440900      	0.09591193      	0.02065551      	2.48111800      	0.13601740      	-0.57766680     	2.54056300      	0.16175360      	-0.92338920     	2.50925800      	0.23423360      	0.01688445      	2.44224500      	0.27772130      	-0.56719060     	2.51550100      	0.25503330      	-0.91723610     	2.49534600      
0.16666670	0.16886000      	0.09368870      	2.46944700      	0.18745930      	0.16116040      	2.51440100      	0.19027100      	0.53045710      	2.50038700      	0.16638480      	0.71250520      	2.48163700      	0.01624731      	0.47799100      	2.56016100      	-0.16396290     	0.64418390      	2.57536700      	-0.34469490     	0.84967570      	2.63845400      	0.32819350      	0.39740670      	2.43755000      	0.50079110      	0.16887050      	2.43363400      	0.65336800      	-0.05834654     	2.41423300      	0.09610705      	0.02063094      	2.48134300      	0.13615000      	-0.57785620     	2.54071900      	0.16177900      	-0.92347690     	2.50922300      	0.23440220      	0.01687946      	2.44243300      	0.27791750      	-0.56717870     	2.51572700      	0.25506150      	-0.91716870     	2.49540700      
0.20000000	0.16903810      	0.09366226      	2.46964000      	0.18761820      	0.16115870      	2.51452300      	0.19043240      	0.53045380      	2.50053400      	0.16645680      	0.71253880      	2.48187400      	0.01648257      	0.47787030      	2.56035800      	-0.16397610     	0.64412710      	2.57553700      	-0.32432680     	0.82674020      	2.63519800      	0.32834800      	0.39740590      	2.43776800      	0.50095390      	0.16876240      	2.43355100      	0.65336470      	-0.05839154     	2.41407400      	0.09630186      	0.02061136      	2.48156400      	0.13627130      	-0.57797700     	2.54084800      	0.16179350      	-0.92349080     	2.50922100      	0.23457430      	0.01687296      	2.44261800      	0.27814560      	-0.56713660     	2.51595200      	0.25512510      	-0.91707300     	2.49551800      
0.23333330	0.16920840      	0.09363803      	2.46982400      	0.18777210      	0.16115750      	2.51464100      	0.19059410      	0.53045300      	2.50068000      	0.16653510      	0.71256940      	2.48209900      	0.01669197      	0.47776440      	2.56053900      	-0.16399020     	0.64405720      	2.57570500      	-0.33589620     	0.84293870      	2.63956900      	0.32849420      	0.39740950      	2.43798100      	0.50110020      	0.16866530      	2.43347200      	0.65335540      	-0.05842773     	2.41392100      	0.09648411      	0.02059326      	2.48177100      	0.13640160      	-0.57813100     	2.54099000      	0.16183340      	-0.92355850     	2.50921800      	0.23473850      	0.01686753      	2.44279300      	0.27835800      	-0.56709930     	2.51616800      	0.25517630      	-0.91698800     	2.49561700      
0.26666670	0.16938370      	0.09361313      	2.47000600      	0.18792790      	0.16115530      	2.51475800      	0.19075050      	0.53045060      	2.50081900      	0.16661110      	0.71259700      	2.48230900      	0.01690030      	0.47765320      	2.56070400      	-0.16404530     	0.64402370      	2.57589100      	-0.33976680     	0.85044720      	2.64557400      	0.32864200      	0.39741530      	2.43820600      	0.50123290      	0.16857570      	2.43339900      	0.65334650      	-0.05845999     	2.41378200      	0.09667587      	0.02057656      	2.48197700      	0.13648920      	-0.57817830     	2.54107300      	0.16185680      	-0.92357250     	2.50922200      	0.23490690      	0.01686348      	2.44296600      	0.27857480      	-0.56702010     	2.51635900      	0.25531370      	-0.91678080     	2.49581100      
0.30000000	0.16955370      	0.09358848      	2.47018100      	0.18807700      	0.16115220      	2.51487300      	0.19090170      	0.53044840      	2.50095500      	0.16670640      	0.71265170      	2.48257900      	0.01708942      	0.47755130      	2.56085300      	-0.16410550     	0.64399340      	2.57608100      	-0.34298310     	0.85425660      	2.64666400      	0.32879260      	0.39743490      	2.43844900      	0.50136660      	0.16847860      	2.43332100      	0.65331130      	-0.05848680     	2.41355200      	0.09686090      	0.02056045      	2.48217100      	0.13657640      	-0.57823060     	2.54115500      	0.16187710      	-0.92358520     	2.50922600      	0.23506990      	0.01685992      	2.44313400      	0.27877520      	-0.56694990     	2.51653500      	0.25535160      	-0.91665540     	2.49592200      
0.33333330	0.16972790      	0.09356522      	2.47036100      	0.18823010      	0.16114960      	2.51499400      	0.19105560      	0.53044380      	2.50109400      	0.16679630      	0.71270280      	2.48283500      	0.01726912      	0.47744940      	2.56098600      	-0.16416440     	0.64396670      	2.57625700      	-0.34491620     	0.85676780      	2.64757600      	0.32893430      	0.39745620      	2.43868200      	0.50148930      	0.16838870      	2.43324800      	0.65326580      	-0.05852640     	2.41324900      	0.09705365      	0.02054862      	2.48237600      	0.13665740      	-0.57826330     	2.54122900      	0.16189580      	-0.92358180     	2.50923300      	0.23523360      	0.01685793      	2.44330500      	0.27897390      	-0.56686120     	2.51670700      	0.25542550      	-0.91649260     	2.49603800      
0.36666670	0.16989530      	0.09354373      	2.47053500      	0.18837470      	0.16114700      	2.51511200      	0.19120450      	0.53043920      	2.50123300      	0.16688170      	0.71275100      	2.48307400      	0.01743751      	0.47734720      	2.56110300      	-0.16423260     	0.64394410      	2.57642600      	-0.34469270     	0.85148540      	2.63380900      	0.32908530      	0.39747600      	2.43893000      	0.50160160      	0.16830650      	2.43318100      	0.65322180      	-0.05857028     	2.41293200      	0.09723622      	0.02053853      	2.48256800      	0.13673960      	-0.57828960     	2.54130100      	0.16191490      	-0.92357780     	2.50923900      	0.23539180      	0.01685591      	2.44346900      	0.27915630      	-0.56677440     	2.51687000      	0.25549550      	-0.91633990     	2.49614500      
