%Time     	HipCenter-X     	HipCenter-Y     	HipCenter-Z     	Spine-X         	Spine-Y         	Spine-Z         	ShoulderCenter-X	ShoulderCenter-Y	ShoulderCenter-Z	Head-X          	Head-Y          	Head-Z          	ShoulderLeft-X  	ShoulderLeft-Y  	ShoulderLeft-Z  	ElbowLeft-X     	ElbowLeft-Y     	ElbowLeft-Z     	WristLeft-X     	WristLeft-Y     	WristLeft-Z     	ShoulderRight-X 	ShoulderRight-Y 	ShoulderRight-Z 	ElbowRight-X    	ElbowRight-Y    	ElbowRight-Z    	WristRight-X    	WristRight-Y    	WristRight-Z    	HipLeft-X       	HipLeft-Y       	HipLeft-Z       	KneeLeft-X      	KneeLeft-Y      	KneeLeft-Z      	AnkleLeft-X     	AnkleLeft-Y     	AnkleLeft-Z     	HipRight-X      	HipRight-Y      	HipRight-Z      	KneeRight-X     	KneeRight-Y     	KneeRight-Z     	AnkleRight-X    	AnkleRight-Y    	AnkleRight-Z    	
0.00000000	0.09490509      	0.14163990      	2.40131500      	0.10150460      	0.20647550      	2.45651100      	0.13146970      	0.57596550      	2.45231700      	0.14357750      	0.76699550      	2.47092600      	-0.06815930     	0.50419600      	2.46723400      	-0.27592150     	0.64885560      	2.46762000      	-0.45057530     	0.78931640      	2.45671500      	0.29356170      	0.43351160      	2.45083600      	0.46827830      	0.22903840      	2.49887300      	0.62661130      	0.07293954      	2.51509400      	0.01009676      	0.06443444      	2.39054300      	0.05657111      	-0.52718250     	2.47029200      	0.07803704      	-0.92466930     	2.50669800      	0.16646050      	0.05495644      	2.38707500      	0.15545870      	-0.53702680     	2.47282700      	0.14232740      	-0.93256560     	2.51113400      
0.03333334	0.09491485      	0.14163680      	2.40130000      	0.10154820      	0.20647480      	2.45648800      	0.13166700      	0.57597990      	2.45229000      	0.14363470      	0.76701570      	2.47091600      	-0.06800900     	0.50435030      	2.46737500      	-0.27589120     	0.64883070      	2.46757700      	-0.45016340     	0.78959980      	2.45719100      	0.29359730      	0.43350550      	2.45079800      	0.46836280      	0.22897890      	2.49885700      	0.62672270      	0.07290912      	2.51511100      	0.01010337      	0.06444336      	2.39057900      	0.05676199      	-0.52733400     	2.47048200      	0.07809223      	-0.92496710     	2.50677900      	0.16644780      	0.05494968      	2.38703000      	0.15545320      	-0.53718060     	2.47286000      	0.14232140      	-0.93257000     	2.51113200      
0.06666667	0.09492397      	0.14163580      	2.40128900      	0.10159170      	0.20647670      	2.45646900      	0.13185790      	0.57599390      	2.45227800      	0.14368910      	0.76703600      	2.47090900      	-0.06786057     	0.50450080      	2.46751900      	-0.27586900     	0.64881300      	2.46755000      	-0.44977010     	0.78988890      	2.45775800      	0.29363180      	0.43350130      	2.45076400      	0.46844120      	0.22892990      	2.49884600      	0.62681560      	0.07287937      	2.51513600      	0.01011212      	0.06446373      	2.39062700      	0.05694270      	-0.52745810     	2.47065100      	0.07814901      	-0.92523140     	2.50685300      	0.16643560      	0.05494445      	2.38698700      	0.15543450      	-0.53733080     	2.47289300      	0.14231440      	-0.93264850     	2.51111400      
0.10000000	0.09493294      	0.14163610      	2.40128000      	0.10163760      	0.20648100      	2.45645500      	0.13205050      	0.57601570      	2.45228600      	0.14373010      	0.76705450      	2.47090400      	-0.06772363     	0.50466420      	2.46768500      	-0.27585150     	0.64879930      	2.46753200      	-0.44941600     	0.79015710      	2.45836000      	0.29366390      	0.43349860      	2.45073600      	0.46852390      	0.22888380      	2.49884300      	0.62690520      	0.07284524      	2.51517100      	0.01012286      	0.06448636      	2.39068300      	0.05713548      	-0.52758120     	2.47081900      	0.07819992      	-0.92546830     	2.50692100      	0.16642420      	0.05494237      	2.38694800      	0.15541710      	-0.53746990     	2.47293000      	0.14230740      	-0.93272690     	2.51109700      
0.13333330	0.09494221      	0.14163680      	2.40127300      	0.10168420      	0.20648530      	2.45644600      	0.13224220      	0.57603450      	2.45230800      	0.14376940      	0.76707090      	2.47090900      	-0.06758929     	0.50481590      	2.46784900      	-0.27583610     	0.64878690      	2.46752000      	-0.44898770     	0.79049470      	2.45921400      	0.29369640      	0.43349800      	2.45071400      	0.46856870      	0.22886990      	2.49884300      	0.62695150      	0.07283600      	2.51519600      	0.01013641      	0.06450965      	2.39074700      	0.05732014      	-0.52770390     	2.47097700      	0.07826094      	-0.92568920     	2.50698900      	0.16641370      	0.05494109      	2.38691200      	0.15540660      	-0.53760680     	2.47296700      	0.14230050      	-0.93280540     	2.51107900      
0.16666670	0.09495133      	0.14163950      	2.40126900      	0.10173070      	0.20649210      	2.45644200      	0.13243370      	0.57605040      	2.45234900      	0.14378530      	0.76707760      	2.47091700      	-0.06745522     	0.50498890      	2.46804000      	-0.27582330     	0.64877610      	2.46751300      	-0.44865530     	0.79075680      	2.45996400      	0.29372920      	0.43349920      	2.45070000      	0.46860990      	0.22886260      	2.49884500      	0.62698700      	0.07282749      	2.51522300      	0.01014894      	0.06454019      	2.39082100      	0.05748770      	-0.52781420     	2.47112900      	0.07832084      	-0.92589780     	2.50705600      	0.16640330      	0.05494190      	2.38687900      	0.15539570      	-0.53773730     	2.47300500      	0.14229350      	-0.93288380     	2.51106200      
0.20000000	0.09496349      	0.14164590      	2.40126700      	0.10178100      	0.20650190      	2.45644400      	0.13261340      	0.57605990      	2.45240800      	0.14379880      	0.76708500      	2.47093600      	-0.06733291     	0.50517340      	2.46825700      	-0.27581410     	0.64876990      	2.46750900      	-0.44835060     	0.79104390      	2.46067500      	0.29376480      	0.43350240      	2.45069200      	0.46864870      	0.22885760      	2.49884900      	0.62702000      	0.07281736      	2.51527200      	0.01016476      	0.06457437      	2.39090000      	0.05766036      	-0.52791950     	2.47127200      	0.07837328      	-0.92609830     	2.50711800      	0.16639540      	0.05494528      	2.38684800      	0.15538390      	-0.53785880     	2.47304100      	0.14227960      	-0.93304070     	2.51102700      
0.23333330	0.09497532      	0.14165170      	2.40126800      	0.10183000      	0.20651050      	2.45644800      	0.13278450      	0.57606700      	2.45247200      	0.14380700      	0.76708980      	2.47096200      	-0.06721846     	0.50534390      	2.46847100      	-0.27580380     	0.64876090      	2.46751800      	-0.44802120     	0.79136980      	2.46133100      	0.29379930      	0.43350610      	2.45069000      	0.46870600      	0.22885450      	2.49886200      	0.62705840      	0.07279909      	2.51533100      	0.01018118      	0.06460468      	2.39098200      	0.05782178      	-0.52802990     	2.47141600      	0.07841629      	-0.92626880     	2.50717700      	0.16638760      	0.05494887      	2.38682000      	0.15536200      	-0.53798150     	2.47307700      	0.14227320      	-0.93318950     	2.51099900      
0.26666670	0.09499157      	0.14165880      	2.40127200      	0.10188810      	0.20651720      	2.45646000      	0.13297280      	0.57605460      	2.45257100      	0.14380790      	0.76709100      	2.47099900      	-0.06710750     	0.50550200      	2.46868300      	-0.27579410     	0.64874980      	2.46754600      	-0.44760390     	0.79183200      	2.46178000      	0.29383240      	0.43350970      	2.45069000      	0.46880500      	0.22883470      	2.49890000      	0.62712560      	0.07275319      	2.51541300      	0.01020906      	0.06463527      	2.39108200      	0.05796657      	-0.52814480     	2.47155300      	0.07833409      	-0.92642690     	2.50729400      	0.16638150      	0.05495314      	2.38679300      	0.15533910      	-0.53810240     	2.47311800      	0.14227080      	-0.93332390     	2.51097500      
0.30000000	0.09501018      	0.14166580      	2.40127900      	0.10194860      	0.20652290      	2.45647600      	0.13314770      	0.57604120      	2.45267200      	0.14379000      	0.76708940      	2.47104000      	-0.06700003     	0.50565060      	2.46889300      	-0.27578770     	0.64874390      	2.46760100      	-0.44718490     	0.79232780      	2.46271400      	0.29386720      	0.43351450      	2.45069500      	0.46890030      	0.22882040      	2.49893900      	0.62718760      	0.07271089      	2.51549900      	0.01024350      	0.06466264      	2.39118900      	0.05810509      	-0.52826670     	2.47168800      	0.07825190      	-0.92658500     	2.50741100      	0.16637670      	0.05495743      	2.38676900      	0.15531980      	-0.53822350     	2.47315500      	0.14227580      	-0.93345280     	2.51094600      
