%Time     	HipCenter-X     	HipCenter-Y     	HipCenter-Z     	Spine-X         	Spine-Y         	Spine-Z         	ShoulderCenter-X	ShoulderCenter-Y	ShoulderCenter-Z	Head-X          	Head-Y          	Head-Z          	ShoulderLeft-X  	ShoulderLeft-Y  	ShoulderLeft-Z  	ElbowLeft-X     	ElbowLeft-Y     	ElbowLeft-Z     	WristLeft-X     	WristLeft-Y     	WristLeft-Z     	ShoulderRight-X 	ShoulderRight-Y 	ShoulderRight-Z 	ElbowRight-X    	ElbowRight-Y    	ElbowRight-Z    	WristRight-X    	WristRight-Y    	WristRight-Z    	HipLeft-X       	HipLeft-Y       	HipLeft-Z       	KneeLeft-X      	KneeLeft-Y      	KneeLeft-Z      	AnkleLeft-X     	AnkleLeft-Y     	AnkleLeft-Z     	HipRight-X      	HipRight-Y      	HipRight-Z      	KneeRight-X     	KneeRight-Y     	KneeRight-Z     	AnkleRight-X    	AnkleRight-Y    	AnkleRight-Z    	
0.00000000	0.11023860      	0.09095655      	2.44599800      	0.10997090      	0.15583090      	2.50342100      	0.11466820      	0.52792950      	2.50031700      	0.11132380      	0.71275210      	2.48507100      	-0.05466845     	0.45040880      	2.47386600      	-0.23369350     	0.60574360      	2.39812300      	-0.37327830     	0.79053960      	2.32152700      	0.27625150      	0.39672560      	2.47200600      	0.42470550      	0.16817130      	2.49156300      	0.55906560      	-0.04100782     	2.49286800      	0.03659536      	0.01835638      	2.43193600      	0.03226579      	-0.56108740     	2.49893400      	0.04743213      	-0.91364160     	2.47094100      	0.18275740      	0.01444330      	2.43641900      	0.19556940      	-0.56731060     	2.51408400      	0.17428130      	-0.91930900     	2.49735800      
0.03333334	0.11025270      	0.09095583      	2.44599000      	0.10999090      	0.15583020      	2.50340800      	0.11470520      	0.52784970      	2.50020200      	0.11110850      	0.71267280      	2.48486400      	-0.05476188     	0.45034820      	2.47380300      	-0.23367430     	0.60555150      	2.39790400      	-0.37325830     	0.79048570      	2.32130000      	0.27620570      	0.39678030      	2.47191900      	0.42467790      	0.16819840      	2.49151600      	0.55911100      	-0.04124701     	2.49308500      	0.03659798      	0.01835226      	2.43191400      	0.03218672      	-0.56095140     	2.49889600      	0.04709215      	-0.91328600     	2.47086700      	0.18277600      	0.01444426      	2.43642100      	0.19556900      	-0.56730780     	2.51409300      	0.17431150      	-0.91931270     	2.49741100      
0.06666667	0.11026490      	0.09095590      	2.44598100      	0.11000880      	0.15583050      	2.50339500      	0.11474260      	0.52777020      	2.50008200      	0.11089790      	0.71259250      	2.48465800      	-0.05485923     	0.45029660      	2.47373900      	-0.23366100     	0.60538640      	2.39769600      	-0.37324020     	0.79045200      	2.32107900      	0.27615700      	0.39683320      	2.47183400      	0.42465060      	0.16822060      	2.49147500      	0.55915520      	-0.04148082     	2.49329100      	0.03659862      	0.01834940      	2.43189000      	0.03211784      	-0.56083700     	2.49886500      	0.04680726      	-0.91294360     	2.47077200      	0.18279110      	0.01444539      	2.43642200      	0.19556780      	-0.56730420     	2.51410600      	0.17437740      	-0.91931400     	2.49748800      
0.10000000	0.11027570      	0.09095702      	2.44597200      	0.11002450      	0.15583180      	2.50338100      	0.11477600      	0.52769590      	2.49996300      	0.11068210      	0.71251310      	2.48442100      	-0.05496290     	0.45024770      	2.47366800      	-0.23364970     	0.60523720      	2.39749500      	-0.37322120     	0.79042290      	2.32087900      	0.27611070      	0.39688250      	2.47175400      	0.42461390      	0.16824390      	2.49143200      	0.55917250      	-0.04168429     	2.49342200      	0.03659777      	0.01834736      	2.43186500      	0.03203807      	-0.56068040     	2.49882800      	0.04656230      	-0.91263000     	2.47069400      	0.18280470      	0.01444679      	2.43642400      	0.19556550      	-0.56730350     	2.51412500      	0.17444050      	-0.91931350     	2.49754900      
0.13333330	0.11028570      	0.09095874      	2.44596200      	0.11003840      	0.15583390      	2.50336600      	0.11480630      	0.52762500      	2.49984100      	0.11048650      	0.71244140      	2.48420600      	-0.05506888     	0.45019750      	2.47358300      	-0.23365640     	0.60513550      	2.39728300      	-0.37321070     	0.79043360      	2.32068100      	0.27606640      	0.39692870      	2.47167700      	0.42457790      	0.16826360      	2.49139300      	0.55915800      	-0.04184262     	2.49350600      	0.03659565      	0.01834617      	2.43183900      	0.03193071      	-0.56047440     	2.49877900      	0.04627117      	-0.91224630     	2.47058700      	0.18281740      	0.01444833      	2.43642500      	0.19556290      	-0.56730280     	2.51414500      	0.17448190      	-0.91930400     	2.49761400      
0.16666670	0.11029510      	0.09096126      	2.44595200      	0.11005090      	0.15583680      	2.50335100      	0.11483260      	0.52756050      	2.49972600      	0.11031310      	0.71237770      	2.48401100      	-0.05517545     	0.45015080      	2.47349000      	-0.23366500     	0.60505550      	2.39708100      	-0.37320020     	0.79045070      	2.32050100      	0.27602390      	0.39697350      	2.47160400      	0.42454180      	0.16827960      	2.49135700      	0.55912070      	-0.04196453     	2.49356500      	0.03659202      	0.01834647      	2.43180900      	0.03186266      	-0.56034900     	2.49875700      	0.04590140      	-0.91190030     	2.47041900      	0.18282940      	0.01444992      	2.43642700      	0.19556010      	-0.56730330     	2.51416600      	0.17452770      	-0.91930370     	2.49767100      
0.20000000	0.11030390      	0.09096526      	2.44593900      	0.11006200      	0.15584110      	2.50333300      	0.11485940      	0.52749940      	2.49960800      	0.11015440      	0.71231610      	2.48382400      	-0.05528212     	0.45010810      	2.47338600      	-0.23372260     	0.60505830      	2.39681700      	-0.37319210     	0.79049620      	2.32031900      	0.27598140      	0.39701690      	2.47153200      	0.42450930      	0.16829240      	2.49132600      	0.55907910      	-0.04225960     	2.49356100      	0.03658622      	0.01835010      	2.43177200      	0.03180769      	-0.56024980     	2.49873900      	0.04555449      	-0.91160450     	2.47026200      	0.18283950      	0.01445185      	2.43642800      	0.19555710      	-0.56730370     	2.51418900      	0.17458850      	-0.91930400     	2.49774000      
0.23333330	0.11031140      	0.09097000      	2.44592500      	0.11007140      	0.15584660      	2.50331200      	0.11488340      	0.52744780      	2.49949100      	0.11000430      	0.71226100      	2.48363600      	-0.05539164     	0.45006940      	2.47326500      	-0.23375700     	0.60505760      	2.39657700      	-0.37317950     	0.79056820      	2.32011600      	0.27593350      	0.39706260      	2.47145400      	0.42447770      	0.16830150      	2.49129700      	0.55902270      	-0.04265095     	2.49354300      	0.03657840      	0.01835487      	2.43173300      	0.03175966      	-0.56016430     	2.49872500      	0.04526250      	-0.91134100     	2.47011000      	0.18284740      	0.01445374      	2.43642800      	0.19555380      	-0.56730480     	2.51421400      	0.17467690      	-0.91929190     	2.49782900      
0.26666670	0.11031860      	0.09097639      	2.44590500      	0.11007930      	0.15585360      	2.50328600      	0.11490440      	0.52740000      	2.49937200      	0.10986630      	0.71221140      	2.48345200      	-0.05550053     	0.45003980      	2.47312600      	-0.23378180     	0.60506670      	2.39634500      	-0.37315580     	0.79064700      	2.31991900      	0.27588540      	0.39710780      	2.47137500      	0.42444500      	0.16830950      	2.49126700      	0.55896750      	-0.04301196     	2.49352600      	0.03656877      	0.01836212      	2.43168500      	0.03171222      	-0.56008760     	2.49871300      	0.04499352      	-0.91109450     	2.46997700      	0.18285440      	0.01445586      	2.43642800      	0.19554940      	-0.56730620     	2.51424100      	0.17469120      	-0.91929270     	2.49786900      
0.30000000	0.11032490      	0.09098732      	2.44587700      	0.11008590      	0.15586430      	2.50325000      	0.11492360      	0.52735730      	2.49925400      	0.10972000      	0.71216570      	2.48322700      	-0.05560330     	0.45001530      	2.47298500      	-0.23377930     	0.60508290      	2.39611200      	-0.37308990     	0.79071160      	2.31976900      	0.27583810      	0.39715210      	2.47129100      	0.42441230      	0.16831640      	2.49124100      	0.55887560      	-0.04323289     	2.49347700      	0.03655382      	0.01837485      	2.43162300      	0.03166282      	-0.56000950     	2.49870300      	0.04490530      	-0.91096750     	2.46992300      	0.18286120      	0.01445970      	2.43642500      	0.19554360      	-0.56729920     	2.51427100      	0.17472550      	-0.91924360     	2.49793300      
