%         	ShoulderCenter  	Spine           	ElbowRight      	ShoulderRight   	KneeRight       	HipRight        	ShoulderRight   	ElbowLeft       	ShoulderLeft    	KneeLeft        	HipLeft         	ShoulderLeft    	
%         	Head            	ShoulderCenter  	WristRight      	ShoulderCenter  	AnkleRight      	HipCenter       	ShoulderLeft    	WristLeft       	ShoulderCenter  	AnkleLeft       	HipCenter       	ShoulderRight   	
%         	Spine           	HipCenter       	ShoulderRight   	ElbowRight      	HipRight        	KneeRight       	ElbowRight      	ShoulderLeft    	ElbowLeft       	HipLeft         	KneeLeft        	ElbowLeft       	
% Time    		Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	Theta (Deg)     	
0.00000000	176.089092012789	137.320650450957	175.400218941551	149.045049715018	167.247496928784	137.542809147390	125.023933306105	171.649088181853	108.693521756022	170.211972815495	130.808500337136	140.506610174020	
0.03333334	176.077782921063	137.317451758410	175.456585185099	149.062902494304	167.265239149870	137.554331425364	125.040009270142	171.651224051858	108.788281529471	170.206684535378	130.798440051974	140.561588381864	
0.06666667	176.063397045312	137.313650622925	175.506818596466	149.082173164418	167.283067266705	137.566574850281	125.056673818915	171.082543390742	108.878757580729	170.200545262984	130.788721306424	140.616109890141	
0.10000000	176.046857541499	137.310553096950	175.555672192868	149.103613311443	167.296550698410	137.581330392627	125.073990240422	171.379183899549	108.961616656247	170.197914362918	130.782384605979	140.663996757875	
0.13333330	176.033947087116	137.308563209741	175.607441410639	149.128520956216	167.307865802304	137.595287010715	125.092120530503	171.600286703787	109.032508572039	170.194171550269	130.776722392483	140.704144060797	
0.16666670	176.016853000280	137.308063370850	175.572012419303	149.155947684944	167.318715793773	137.609534633648	125.111078573582	171.763382751984	109.093078684947	170.189359945615	130.770863472211	140.739638101701	
0.20000000	176.003740534186	137.308176142911	175.551966627908	149.183924002564	167.332915499971	137.620154816249	125.130517629654	171.851930373123	109.143569917685	170.184429110079	130.766199386399	140.768957390510	
0.23333330	175.992787948680	137.309898732090	175.506240191458	149.217867765570	167.348207399539	137.627329455599	125.154421075278	171.906455004862	109.182071020864	170.168452484617	130.759916202046	140.796338686227	
0.26666670	175.989418845223	137.311869917615	175.495575847353	149.265258485593	167.370710562976	137.633295902388	125.190105435964	171.933255292504	109.215350020711	170.154308874996	130.753285978366	140.820501699943	
0.30000000	175.994349647648	137.313245889238	175.426038655456	149.318517990517	167.396465767587	137.639385683844	125.229269799780	171.928946932827	109.245589501676	170.128844035397	130.746853648784	140.840806278424	
0.33333330	175.994628884690	137.314779806177	175.270952601141	149.376785612301	167.418490154213	137.644240635525	125.276067213330	171.918976096437	109.270759524967	170.115428077455	130.742037246047	140.857479007630	
0.36666670	175.980608289202	137.316201342897	175.170842206772	149.448038180246	167.436562925932	137.648634802105	125.338064738694	171.902152538172	109.292657155835	170.100124896069	130.737707872141	140.872266615388	
0.40000000	175.967447646267	137.318062336804	175.102571376806	149.530791669105	167.451915043490	137.653138433967	125.418192239885	171.889269588803	109.311493892019	170.091261414794	130.733121687900	140.887217014424	
0.43333330	175.964568164109	137.319495751689	175.044285317575	149.615410385939	167.468646854460	137.657217323876	125.495343981825	171.871842518856	109.325964899891	170.080932792267	130.728050028400	140.901014966636	
0.46666670	175.966741332774	137.320276909595	175.015500988420	149.698896761246	167.481664175218	137.660383771782	125.571774355421	170.710285298084	109.338501987477	170.080899234272	130.722237903135	140.915845877072	
0.50000000	175.975862378868	137.319972393184	175.008000065532	149.780934057462	167.488452101261	137.665234164560	125.645083026779	170.781156536018	109.352138210750	170.088206117405	130.716274315889	140.933304328941	
0.53333340	175.982078772269	137.320772439581	175.012853289192	149.860207231110	167.489684849013	137.668005170792	125.715621612069	170.867998105430	109.364785711474	170.089851523552	130.711239820473	140.949701981996	
0.56666670	175.981480072111	137.322810036052	174.997270416106	149.932029136876	167.487418148355	137.670470569347	125.782951435787	170.946732149189	109.377799148681	170.099239995050	130.705822643725	140.969604317607	
0.60000000	175.975772980322	137.324944815172	174.940403452303	149.997034034023	167.486463349976	137.672509580811	125.844983391909	171.034198886058	109.393077411208	170.110618462064	130.699783732803	140.991380556980	
0.63333330	175.967330990260	137.328112554385	174.879833724070	150.055304034154	167.483563397640	137.674670118568	125.901036437922	171.119684063865	109.407943438643	170.112262276347	130.691972174762	141.015208211708	
0.66666670	175.958982943491	137.332706629631	174.832607038807	150.119880988345	167.480587081550	137.676027265500	125.969735194335	171.203367440506	109.425189515310	170.114612541566	130.684170092819	141.041958544956	
0.70000000	175.955704328791	137.336036043335	174.785780774106	150.177570433705	167.477033004366	137.677316580305	126.035609561347	171.296844027953	109.454938305191	170.110077898690	130.676372523852	141.069088441165	
